#
# Halo    	Host ID   	#Satellites	Mean Vx (km/s)	Std. Deviation of Vx (km/s)
#
iCharybdis	15362565  	19        	2.78526315789	44.0730874282
iKauket   	20468416  	40        	11.87125  	52.345954676
iKauket   	20439477  	29        	14.5396551724	37.7381143182
iLincoln  	12969806  	24        	6.4525    	52.5454447954
iLincoln  	12970629  	11        	-1.30454545455	34.989786916
iOrion    	24703280  	25        	9.7988    	68.147269135
iRomulus  	13886889  	30        	6.17666666667	42.155045276
iRomulus  	13888072  	14        	-8.93642857143	23.1162752212
iScylla   	9380170   	31        	2.16387096774	46.9880694314
iSerana   	16845962  	40        	5.98175   	47.5348693533
iSiegfried	10065172  	32        	6.576875  	64.7130068281
iSonny    	17475198  	33        	2.03121212121	41.9371860559
iTaurus   	7733524   	16        	-3.679375 	26.2511788947
iZeus     	12776558  	22        	-20.635   	81.6639884332
iZeus     	12787799  	28        	1.91785714286	42.17238419
iZeus     	12790590  	24        	-0.7625   	44.0780107924
iZeus     	12791807  	31        	7.91483870968	42.4026819656
Kauket&Kek	20836695  	35        	2.97085714286	50.4773542646
Siegfried&Roy	64789957  	14        	-5.04142857143	51.2190413612
Siegfried&Roy	64831412  	9         	-1.70222222222	39.2020528878
Siegfried&Roy	64869686  	34        	17.7305882353	41.9250197616
Venus&Serana	52721092  	19        	0.321578947368	45.7487565851
Zeus&Hera 	26111369  	43        	-2.22651162791	43.4585138651
Zeus&Hera 	26112952  	30        	-33.0316666667	65.1619547018
Zeus&Hera 	26152588  	33        	-1.22515151515	33.5260244569
