#
# Halo    	Host ID   	#Satellites	Mean Vx (km/s)	Std. Deviation of Vx (km/s)
#
iCher     	10258275  	35        	2.44      	54.3495777353
iHall     	7467464   	28        	35.6432142857	47.6580742712
iHall     	7470746   	44        	9.83090909091	60.1861139156
iOrion    	24734379  	39        	-11.9730769231	66.9225217601
iOrion    	24734997  	38        	14.3342105263	56.9128028623
iOrion    	24742682  	34        	-10.1123529412	57.4159935219
iRemus    	9748435   	26        	-13.9073076923	55.1701368884
iRoy      	12552980  	27        	4.34703703704	45.4814358396
iScylla   	9384762   	36        	-8.64666666667	60.8363815218
iScylla   	9387610   	34        	10.1332352941	43.0006682383
Romulus&Remus	13144369  	23        	-11.5765217391	67.7732225952
Siegfried&Roy	64554642  	60        	9.13516666667	69.2698129657
Venus&Serana	52900128  	28        	-20.8039285714	53.398357274
