#
# Halo    	Host ID   	#Satellites	Mean Vx (km/s)	Std. Deviation of Vx (km/s)
#
iBurr     	8537292   	14        	5.02357142857	19.4507603991
iCharybdis	15365045  	11        	-12.4990909091	47.904342649
iCharybdis	15357685  	7         	3.04571428571	24.4053383254
iCharybdis	15399797  	17        	-8.51352941176	26.973565042
iCharybdis	15345968  	20        	-28.8875  	57.6715095064
iCher     	10262323  	8         	52.36875  	53.1052806785
iDouglas  	8528708   	13        	-45.9338461538	57.2031261301
iDouglas  	8528966   	12        	-18.0375  	34.1478020584
iHall     	7498945   	4         	2.1075    	24.5063903656
iHamilton 	7563520   	102       	-18.8653921569	83.0448120663
iHera     	6590892   	61        	15.5521311475	73.279657905
iHera     	6591315   	3         	66.17     	90.4864468673
iHera     	6596551   	25        	-29.8996  	45.5816921564
iHera     	6597199   	17        	0.554705882353	28.6398287289
iHera     	6621445   	21        	47.0480952381	53.4623903069
iHera     	6628323   	21        	-18.2676190476	58.8371802523
iKauket   	20408520  	8         	19.32625  	30.2216705931
iKauket   	20467901  	16        	-14.151875	40.361747859
iLincoln  	12962322  	14        	-55.2985714286	66.0762804705
iLincoln  	12951899  	7         	8.64285714286	50.7993753376
iLouise   	6762263   	16        	-2.398125 	26.1945397981
iLouise   	6752075   	20        	-37.6515  	51.3570961285
iLouise   	6762378   	9         	-6.41     	22.6220344895
iOrion    	24751513  	11        	-9.67818181818	42.0627327643
iOrion    	24752019  	12        	-20.2525  	36.7689361928
iOrion    	24879740  	10        	6.682     	26.4152091796
iRemus    	9799740   	18        	16.905    	25.2848758593
iRemus    	9807493   	8         	2.8775    	33.869056951
iRomulus  	13891743  	19        	-1.56789473684	30.0450221079
iRomulus  	13893247  	3         	0.396666666667	15.0528099998
iRomulus  	13892775  	14        	-4.78714285714	22.3091375989
iRomulus  	13893378  	19        	20.9268421053	48.8454086678
iRoy      	12533647  	46        	-21.3165217391	71.1592674223
iRoy      	12533920  	54        	-22.8085185185	57.3359503733
iRoy      	12556576  	7         	-52.2557142857	39.6262059238
iRoy      	12606732  	9         	2.15666666667	38.0489462549
iScylla   	9381314   	4         	-48.58    	4.42375971319
iSerana   	16823796  	10        	-10.089   	60.4430767665
iSerana   	16826307  	2         	12.79     	44.08     
iSerana   	16826309  	4         	5.86      	25.1945172607
iSerana   	16831358  	4         	35.785    	46.4558422053
iSonny    	17487239  	14        	0.0107142857143	25.0749984943
iSonny    	17415339  	10        	11.879    	21.04242688
iSonny    	17455837  	13        	-0.06     	17.3537989634
iSonny    	17432678  	6         	-6.55     	26.2144877247
iSonny    	17432243  	11        	-0.64     	29.4600456705
iSonny    	17454937  	40        	41.887    	60.3681430143
iTaurus   	7765151   	57        	10.5422807018	66.3055678649
iTaurus   	7798806   	21        	11.9319047619	35.614957481
iVenus    	12969712  	20        	-13.8185  	32.6733924279
iVenus    	13064112  	13        	-8.18307692308	24.9557566612
iZeus     	12776520  	15        	-22.9706666667	77.5809823317
iZeus     	12792259  	16        	-4.49125  	32.8035163654
iZeus     	12795292  	19        	-19.1626315789	53.1428506695
iZeus     	12795917  	16        	10.748125 	29.6597926954
iZeus     	12796042  	18        	20.8616666667	56.9190608818
Kauket&Kek	20830644  	22        	-16.2186363636	53.8709361087
Kauket&Kek	20831317  	17        	24.2305882353	53.5586289495
Kauket&Kek	20838235  	24        	-20.3604166667	45.231441358
Kauket&Kek	20851738  	61        	-30.3967213115	71.2863282761
Kauket&Kek	20867658  	15        	-21.8346666667	38.418835288
Kauket&Kek	20868280  	17        	-1.21     	17.6811474874
Kauket&Kek	20931814  	11        	33.1863636364	45.1903996789
Kauket&Kek	20947868  	26        	-4.605    	43.6126662309
Kauket&Kek	20957590  	5         	10.302    	9.2258861905
Kauket&Kek	20962858  	10        	-19.41    	53.1164215662
Lincoln&Douglas	14342915  	76        	4.32763157895	81.0568494276
Lincoln&Douglas	14376948  	7         	-19.3714285714	53.7857982925
Romulus&Remus	13134566  	11        	-45.0063636364	49.2361046891
Romulus&Remus	13137013  	25        	21.7588   	44.4782105144
Romulus&Remus	13137418  	16        	53.355    	50.9577538261
Romulus&Remus	13147495  	25        	-8.6188   	20.5273706685
Romulus&Remus	13148309  	15        	10.0453333333	30.7684418123
Romulus&Remus	13177179  	13        	2.85384615385	19.6389693206
Romulus&Remus	13187682  	5         	-20.058   	31.9598225277
Siegfried&Roy	64488461  	17        	80.9294117647	52.5520098088
Siegfried&Roy	64708386  	7         	28.98     	33.9789851021
Siegfried&Roy	64779433  	18        	2.52      	42.5379727094
Siegfried&Roy	64784645  	19        	13.5278947368	84.4091518223
Taurus&Orion	18582734  	29        	-40.3675862069	63.0495548758
Taurus&Orion	18679268  	8         	-2.15875  	17.1888898983
Thelma&Louise	16662354  	29        	0.509655172414	49.7128335947
Thelma&Louise	16697089  	23        	14.5034782609	53.4073703274
Venus&Serana	52731468  	14        	-33.2785714286	55.4842783211
Venus&Serana	52901457  	8         	5.47      	18.4660465449
Venus&Serana	52959177  	20        	22.0715   	59.3369993575
Venus&Serana	52963792  	6         	-42.3516666667	49.7824341231
Venus&Serana	53033449  	6         	-39.105   	30.0315782414
Zeus&Hera 	26113364  	12        	24.4616666667	40.3293428811
Zeus&Hera 	26222040  	8         	-17.08375 	24.4010301716
