#
# Sat ID  	Host ID   	Sat PID   	Sat UpID  
#
10258060  	10258275  	-1        	-1        
10258397  	10258275  	-1        	-1        
10320117  	10258275  	-1        	-1        
10320206  	10258275  	-1        	-1        
10321908  	10258275  	-1        	-1        
10322082  	10258275  	-1        	-1        
10322083  	10258275  	-1        	-1        
10327202  	10258275  	-1        	-1        
10327508  	10258275  	-1        	-1        
7466631   	7467464   	-1        	-1        
7466632   	7467464   	-1        	-1        
7466635   	7467464   	-1        	-1        
7466685   	7467464   	-1        	-1        
7466763   	7467464   	-1        	-1        
7466768   	7467464   	-1        	-1        
7466903   	7467464   	-1        	-1        
7466916   	7467464   	-1        	-1        
7466927   	7467464   	-1        	-1        
7467088   	7467464   	-1        	-1        
7467164   	7467464   	-1        	-1        
7510811   	7467464   	-1        	-1        
7511649   	7467464   	-1        	-1        
7537746   	7467464   	-1        	-1        
7537752   	7467464   	-1        	-1        
7467523   	7470746   	-1        	-1        
7467525   	7470746   	-1        	-1        
7467570   	7470746   	-1        	-1        
7467637   	7470746   	-1        	-1        
7467650   	7470746   	-1        	-1        
7467702   	7470746   	-1        	-1        
7467713   	7470746   	-1        	-1        
7467737   	7470746   	-1        	-1        
7467790   	7470746   	-1        	-1        
7467833   	7470746   	-1        	-1        
7467891   	7470746   	-1        	-1        
7467911   	7470746   	7473257   	7473257   
7469237   	7470746   	-1        	-1        
7469240   	7470746   	7473257   	7473257   
7469385   	7470746   	7473257   	7473257   
7469949   	7470746   	-1        	-1        
7469957   	7470746   	7473257   	7473257   
7470251   	7470746   	-1        	-1        
7470372   	7470746   	7471947   	7473257   
7470387   	7470746   	7473257   	7473257   
7471015   	7470746   	7473257   	7473257   
7471205   	7470746   	7473257   	7473257   
7471226   	7470746   	7473257   	7473257   
7471228   	7470746   	7472652   	7473257   
7471244   	7470746   	-1        	-1        
7471283   	7470746   	7473257   	7473257   
7471285   	7470746   	7472652   	7473257   
7471292   	7470746   	7473257   	7473257   
7471427   	7470746   	-1        	-1        
7471437   	7470746   	7473257   	7473257   
7471441   	7470746   	-1        	-1        
7471473   	7470746   	-1        	-1        
7471489   	7470746   	7473257   	7473257   
7471492   	7470746   	-1        	-1        
7471581   	7470746   	-1        	-1        
7471583   	7470746   	-1        	-1        
7471586   	7470746   	-1        	-1        
7471590   	7470746   	7471934   	7473257   
7471591   	7470746   	7473257   	7473257   
