#
# Sat ID  	Host ID   	Sat PID   	Sat UpID  
#
8537223   	8537292   	-1        	-1        
8537692   	8537292   	-1        	-1        
15365033  	15365045  	-1        	-1        
15357580  	15357685  	15357990  	15357990  
15399713  	15399797  	-1        	-1        
15399876  	15399797  	-1        	-1        
15346638  	15345968  	15346649  	15346649  
15402068  	15345968  	-1        	-1        
15346700  	15345968  	15346649  	15346649  
15400014  	15345968  	-1        	-1        
15346677  	15345968  	15346649  	15346649  
15400016  	15345968  	-1        	-1        
15346679  	15345968  	15346649  	15346649  
15346678  	15345968  	15346677  	15346649  
15343175  	15345968  	15349406  	15349406  
10325641  	10262323  	-1        	-1        
10325652  	10262323  	-1        	-1        
10326048  	10262323  	-1        	-1        
8528654   	8528708   	8528659   	8528659   
8528659   	8528708   	-1        	-1        
8541720   	8528708   	-1        	-1        
8542527   	8528708   	-1        	-1        
8565497   	8528966   	-1        	-1        
7562190   	7563520   	7568489   	7568489   
7562525   	7563520   	7568489   	7568489   
7562741   	7563520   	7568489   	7568489   
7562932   	7563520   	7568489   	7568489   
7563342   	7563520   	7568489   	7568489   
7563361   	7563520   	-1        	-1        
7563939   	7563520   	7568489   	7568489   
7563960   	7563520   	-1        	-1        
7564726   	7563520   	7568489   	7568489   
7564858   	7563520   	7568489   	7568489   
7564911   	7563520   	7568489   	7568489   
7564922   	7563520   	7568489   	7568489   
7565337   	7563520   	7568489   	7568489   
7565424   	7563520   	7568489   	7568489   
7565431   	7563520   	7568489   	7568489   
7565496   	7563520   	7568489   	7568489   
7565522   	7563520   	7568489   	7568489   
7565739   	7563520   	7564724   	7568489   
7565775   	7563520   	7568489   	7568489   
7565781   	7563520   	7568489   	7568489   
7566016   	7563520   	7568489   	7568489   
7566455   	7563520   	7568489   	7568489   
7566634   	7563520   	7568489   	7568489   
7566869   	7563520   	7568489   	7568489   
7567302   	7563520   	7568489   	7568489   
7567336   	7563520   	7568489   	7568489   
7567337   	7563520   	7568489   	7568489   
7567347   	7563520   	7568489   	7568489   
7567422   	7563520   	7567766   	7568489   
7567724   	7563520   	7568489   	7568489   
7567766   	7563520   	7568489   	7568489   
7567854   	7563520   	7568489   	7568489   
7567856   	7563520   	7568489   	7568489   
7567871   	7563520   	7568489   	7568489   
7567881   	7563520   	7568489   	7568489   
7567944   	7563520   	7568489   	7568489   
7567969   	7563520   	7564726   	7568489   
7567995   	7563520   	7568489   	7568489   
7568485   	7563520   	7568489   	7568489   
7568611   	7563520   	7568489   	7568489   
7569125   	7563520   	7568489   	7568489   
7569351   	7563520   	-1        	-1        
7569357   	7563520   	7568489   	7568489   
