#
# Halo    	Host ID   	#Satellites	Mean Vx (km/s)	Std. Deviation of Vx (km/s)
#
iCharybdis	15362565  	15        	-24.252   	43.8814728103
iKauket   	20468416  	19        	-4.32210526316	40.219471401
iKauket   	20439477  	18        	15.6316666667	29.4185580601
iLincoln  	12969806  	13        	12.1053846154	49.9360866301
iLincoln  	12970629  	6         	-5.20166666667	41.4752506188
iOrion    	24703280  	36        	54.7561111111	78.3691931848
iRomulus  	13886889  	18        	5.89722222222	48.4654645433
iRomulus  	13888072  	17        	72.4158823529	82.3886017287
iScylla   	9380170   	11        	-10.0963636364	47.779835091
iSerana   	16845962  	25        	4.5992    	46.4302413451
iSiegfried	10065172  	71        	36.2594366197	101.745514541
iSonny    	17475198  	19        	-1.06631578947	39.0411703355
iTaurus   	7733524   	21        	3.97285714286	37.4017434204
iZeus     	12776558  	19        	-17.1842105263	77.118645388
iZeus     	12787799  	15        	1.198     	37.5377154695
iZeus     	12790590  	9         	-13.7211111111	28.7605622895
iZeus     	12791807  	18        	-3.70888888889	28.5421956426
Kauket&Kek	20836695  	34        	52.8114705882	74.5527921177
Siegfried&Roy	64789957  	47        	-39.6187234043	71.7855299713
Siegfried&Roy	64831412  	19        	53.6631578947	78.99656302
Siegfried&Roy	64869686  	23        	-2.70043478261	70.1047267822
Venus&Serana	52721092  	24        	5.14708333333	48.2399022663
Zeus&Hera 	26111369  	17        	2.31823529412	41.3754649144
Zeus&Hera 	26112952  	30        	-35.859   	68.9629326208
Zeus&Hera 	26152588  	18        	6.325     	42.0962304
