# 
# ID	X(Mpc)	Y(Mpc)	Z(Mpc)	Vx(km/s)	Vy(km/s)	Vz(km/s)	Vmax(km/s)	Vpeak(km/s)	Mvir(Msun)	Mpeak(Msun)	Rvir(kpc)	Rmax(kpc)	apeak	Mstar_preferred(Msun)	Mstar_Behroozi2013(Msun)	npart	PID	UpID
# 
23036808 34.93705 35.45572 34.91708  -50.45   32.03  372.46  172.79  172.79 1.5042e+12 1.5042e+12 298.56056 66.27945 1.00000 3.7666e+10 3.7666e+10  5542926       -1       -1
23038580 35.48549 34.96682 35.50545  -89.79   53.33  291.12  196.64  196.64 1.7592e+12 1.7592e+12 314.57887 47.09441 1.00000 4.1966e+10 4.1966e+10  6052608       -1       -1
23027641 34.76409 35.37285 34.83730 -140.87    0.18  317.87    8.39    8.39 5.4845e+06 5.4845e+06 4.59577 0.15015 1.00000  1.6777  447.03       42 23036808 23036808
23027646 34.76019 35.26928 34.75370  -82.93  -81.36  314.42    8.25   10.31 2.9127e+07 7.4765e+07 8.01690 0.89648 0.28950  252.97   17878      189 23027647 23027647
23027647 34.75988 35.26368 34.76172  -70.40  -70.22  328.07   12.12   14.31 6.1662e+07 1.6662e+08 10.29437 0.55938 0.32930  1178.3   55429      445       -1       -1
23027666 34.79244 35.42428 34.86918  -59.54 -102.30  260.36    9.36    9.08 3.4423e+07 4.7723e+07 8.47606 0.59416 0.53520  106.84  9484.9      247 23029158 23036808
23027691 34.51194 35.36775 34.97256  -69.48  -43.67  319.27    8.83    8.95 7.8479e+07 1.2772e+08 11.15634 0.90690 0.72110  707.29   38082      686       -1       -1
23027731 34.59529 35.39713 34.81985   26.14  137.34  302.69   11.47   11.47 1.4549e+08 1.6789e+08 13.70282 1.34740 1.00000  908.27   45771      850       -1       -1
23027756 34.78174 35.32154 34.91992  -60.86   30.81  321.02    8.18    8.76 2.2887e+07 6.6197e+07 7.39718 0.77778 0.37920  200.25   15055      222 23036808 23036808
23027775 34.64699 35.24400 34.99783  -73.15   40.90  310.90    9.15    9.02 4.8042e+07 6.2724e+07 9.47183 1.00034 0.72110  180.56   13952      530       -1       -1
23027811 34.97573 35.31444 34.84887 -174.46   -1.15  325.65   11.07   11.19 3.7254e+07 8.1638e+07 8.70282 0.62443 0.25000   299.5   20242      226 23036808 23036808
23027819 35.06415 35.32755 34.76283 -291.51 -122.37  322.91   11.49   11.19 2.0479e+08 2.0521e+08 15.35915 1.52126 0.94690  1757.8   74383     1515 23036808 23036808
23027829 35.03861 35.36485 34.85001 -119.18  -24.68  247.89   15.63   16.16 1.8577e+08 3.3097e+08 14.86620 1.20474 0.53520    4401 1.4608e+05     1295 23036808 23036808
23027833 34.96643 35.07575 34.90554 -247.49    8.54  354.48    8.06    8.06 4.1803e+07 4.1924e+07 9.04225 1.06433 1.00000  82.846    7867      285       -1       -1
23027838 34.91546 35.15055 35.04730 -235.75    1.94  319.86    8.23    8.23 9.569e+07 1.0352e+08 11.91831 1.67089 1.00000  406.28   25331      690       -1       -1
23027854 34.89050 35.42335 35.03175  -93.98   -2.85  183.66   11.28   11.57 7.0549e+07 1.8671e+08 10.76620 0.74865 0.37920  1466.3   65096      459 23036808 23036808
23027874 35.01125 35.35861 34.94479  -70.46  -41.67  378.46    8.26   13.10 2.0423e+07 1.7814e+08 7.12254 0.70375 0.31610  1339.7   60916      288 23036525 23036808
23027889 35.10795 35.34270 35.17773 -142.48  -22.66  166.95    8.29    8.29 6.5437e+07 8.1826e+07 10.50000 0.76896 1.00000  195.85   14812      471       -1       -1
23027893 34.87356 35.14808 34.73542   47.56  -96.70  298.91   13.48   13.99 3.8676e+08 4.9573e+08 18.98451 2.10492 0.84060  9559.3 2.5841e+05     2719       -1       -1
23027945 34.90157 35.41086 34.91246  121.12 -183.61  344.98    8.84    8.20 1.4746e+07 2.37e+07 6.39014 0.27042 0.40570  27.865  3530.2       89 23036257 23036808
23027976 34.91301 35.36444 34.94818  145.73   26.42  223.43    8.62    8.64 1.607e+07 2.9944e+07 6.57606 0.36112 0.35260  43.658  4911.5       90 23036808 23036808
23027995 35.20504 35.32170 34.94476  -24.48  -34.86  247.25    9.11    8.79 5.7873e+07 6.985e+07 10.07887 1.00853 0.45880     222   16242      456       -1       -1
23028005 35.06196 35.36628 35.12693  -65.67   -5.27  362.08    8.86    9.35 1.9479e+07 4.8732e+07 7.01127 0.44511 0.36590  111.22  9769.4      209 23036808 23036808
23028039 35.00471 35.22332 34.81494  -88.81  215.10  316.26    8.26    8.51 2.6859e+07 4.8981e+07 7.80282 1.06182 0.54850  112.31  9839.9      222 23036808 23036808
23028046 35.10112 35.30738 34.75372 -148.27   83.80  364.87    8.91    8.61 2.9507e+07 3.7638e+07 8.05211 0.61482 0.43230  67.728  6783.6      219 23036808 23036808
23028049 35.23251 35.23242 34.79052  -58.63   14.75  347.30    8.76    8.41 4.6718e+07 7.4197e+07 9.38451 1.38770 0.72110  249.29   17687      814       -1       -1
