# 
# ID	X(Mpc)	Y(Mpc)	Z(Mpc)	Vx(km/s)	Vy(km/s)	Vz(km/s)	Vmax(km/s)	Vpeak(km/s)	Mvir(Msun)	Mpeak(Msun)	Rvir(kpc)	Rmax(kpc)	apeak	Mstar_preferred(Msun)	Mstar_Behroozi2013(Msun)	npart	PID	UpID
# 
22153838 35.04165 35.59246 35.45485  310.64 -289.50  -11.52  171.11  171.11 1.8e+12 1.8e+12 316.95211 95.89397 1.00000 4.2599e+10 4.2599e+10  5633784       -1       -1
22158691 35.38088 34.83008 34.96768  287.28 -133.96   73.02  180.28  180.28 1.893e+12 1.893e+12 322.29155 188.49143 1.00000 4.3989e+10 4.3989e+10  4451352       -1       -1
22147622 35.00305 35.44763 35.36180   77.78 -298.69  -59.73    8.26    9.07 3.669e+07 5.1255e+07 8.65915 0.82255 0.80080  122.53   10491      235 22147623 22153838
22147623 35.00098 35.45806 35.36092   73.60 -296.35  -47.90   12.20   12.39 1.9042e+08 2.1357e+08 14.99155 1.20865 0.89380  1897.9   78697     1484 22153838 22153838
22147634 34.84829 35.55253 35.47613  188.49 -398.24 -192.13   11.17   11.34 1.2577e+08 1.3119e+08 13.05493 1.17988 0.88050  744.64   39550      778 22153794 22153838
22147635 35.00994 35.44444 35.31725  291.95 -403.18 -218.22    8.76    9.08 5.5789e+07 7.3254e+07 9.95634 0.62547 0.88050  243.24   17370      455 22153838 22153838
22147638 34.85758 35.49467 35.35273  246.71 -358.93 -220.55   11.04   11.19 8.2831e+07 1.4019e+08 11.35915 1.14809 0.41900   845.8   43435      938 22147990 22153838
22147654 34.97805 35.52473 35.36389  260.67 -450.27 -104.79    9.30   10.72 2.1183e+07 6.9728e+07 7.20986 0.65872 0.31610  221.26   16202      136 22153838 22153838
22147659 34.89084 35.47161 35.28070  116.45 -307.14  -47.69   13.89   13.65 4.3254e+08 6.0782e+08 19.70563 1.55103 0.77420   14138 3.4459e+05     3828 22147990 22153838
22147701 34.77970 35.20080 35.37409  349.96 -371.26  -61.25    9.28    9.71 8.3972e+07 1.5092e+08 11.40986 1.23861 0.74770  974.43   48200      661       -1       -1
22147704 34.84244 35.18305 35.37873  352.95 -383.28  -51.81   24.03   24.88 1.5775e+09 2.3638e+09 30.32817 3.58196 0.77420 1.9181e+05 2.3432e+06    12378       -1       -1
22147714 34.99308 35.56032 35.39605  329.74 -460.43 -134.59   10.03    9.92 2.5155e+07 5.8437e+07 7.63521 0.51793 0.30280  157.61   12625      143 22153838 22153838
22147723 34.97082 35.53494 35.38794  316.02 -447.48  -95.17    9.94   10.17 4.331e+07 8.6113e+07 9.15070 0.84727 0.48540  331.81   21826      409 22153838 22153838
22147777 35.02306 35.39518 35.27932  197.30 -366.87 -141.66    9.46    9.85 1.2104e+08 1.5027e+08 12.89014 1.54565 0.84060  966.45   47910      866 22153838 22153838
22147787 35.12364 35.47558 35.38061  249.31 -343.01  -35.55    8.11    9.88 1.8338e+07 7.5714e+07 6.87183 0.80482 0.44560  259.16   18200      281 22153838 22153838
22147810 35.35189 35.51963 35.23729  262.24 -359.09  -81.67    9.04    9.48 3.007e+07 7.508e+07 8.10282 0.87600 0.36590  255.01   17985      407       -1       -1
22147822 35.34847 35.38873 35.43932  319.97 -367.12  -20.16    8.60    9.62 7.3944e+07 1.5994e+08 10.93662 1.03323 0.74770  1089.3   52316      911       -1       -1
22147829 35.03195 35.53833 35.16273  404.16 -329.95 -135.90    8.06    8.80 4.293e+07 5.3582e+07 9.12394 1.05092 0.82740  133.44   11170      394 22153838 22153838
22147857 35.06802 35.54204 35.35470  389.03 -429.12 -138.96    9.16   10.67 2.3634e+07 6.8845e+07 7.47887 0.59116 0.26290  215.91   15913      230 22153838 22153838
22147858 34.99751 35.57699 35.35904  400.28 -429.15 -112.84   12.51   12.24 6.2028e+07 1.3907e+08 10.31549 0.62925 0.40570  832.85   42945      921 22153838 22153838
22147861 35.10733 35.56416 35.26543  412.35 -353.66  -46.27   11.49   11.84 3.2718e+07 1.551e+08 8.33380 0.52949 0.41900  1026.9   50097      246 22152917 22153838
