# 
# ID	X(Mpc)	Y(Mpc)	Z(Mpc)	Vx(km/s)	Vy(km/s)	Vz(km/s)	Vmax(km/s)	Vpeak(km/s)	Mvir(Msun)	Mpeak(Msun)	Rvir(kpc)	Rmax(kpc)	apeak	Mstar_preferred(Msun)	Mstar_Behroozi2013(Msun)	npart	PID	UpID
# 
20831179 35.10044 35.54813 34.83111   44.35  -76.41  222.11  156.98  156.98 1.0642e+12 1.0642e+12 266.03944 58.15228 1.00000 2.8404e+10 2.8404e+10  3929891       -1       -1
20833397 35.32210 34.87440 35.59143   22.52   21.33  169.94  204.83  204.83 2.1873e+12 2.3651e+12 338.27606 73.76658 1.00000 4.7988e+10 4.7988e+10  8310820       -1       -1
20826912 35.13851 35.46123 34.79698  -69.91  -86.86  383.39    8.94   15.94 4.0282e+07 3.5364e+08 8.93239 1.11947 0.26290    4998 1.604e+05      241 20831179 20831179
20826917 35.06269 35.41595 34.69953   43.74 -149.04  254.70    9.40    8.32 1.1915e+07 6.9211e+07 5.95211 0.30353 0.33930  218.12   16032       74 20831179 20831179
20826924 35.20123 35.51143 34.68216   73.05 -148.07  258.87   11.81   13.09 7.2239e+07 3.0838e+08 10.85211 0.81121 0.37920  3842.5 1.322e+05      600 20831179 20831179
20826927 35.16724 35.40515 34.80257   21.30 -173.81  334.48    9.62   14.74 2.4775e+07 2.2755e+08 7.59577 0.50098 0.31610  2143.7   86072      148 20831179 20831179
20826947 35.01885 35.44874 34.73380  125.54 -163.04  137.14   11.91   13.10 7.7169e+07 2.027e+08 11.09296 1.11229 0.25000  1716.7   73102     1261 20831179 20831179
20826948 35.04292 35.41016 34.69049  113.84 -100.90  195.97    9.06    8.96 2.893e+07 7.5331e+07 8.00000 0.70356 0.50860  256.65   18070      443 20831179 20831179
20826982 35.16992 35.44288 34.69302   92.14  -84.06  376.63    8.23    8.30 4.3127e+07 6.2221e+07 9.13803 1.26023 0.45880  177.79   13794      254 20831179 20831179
20826986 35.14085 35.42761 34.64112  219.87 -106.12  249.83   13.29   13.73 2.9887e+08 3.1911e+08 17.42113 1.99000 0.88050  4103.2 1.3874e+05     1943 20831179 20831179
20827031 34.97463 35.35315 34.75539   38.61  -70.06  254.56    9.84   10.16 4.1423e+07 1.7925e+08 9.01549 0.77264 0.49870  1355.8   61453      395 20831179 20831179
20827035 35.54338 35.32037 34.90477    7.57  -92.94  198.64   10.98   12.05 1.2066e+08 2.1521e+08 12.87606 1.86789 0.58830    1926   79554     1016       -1       -1
20827036 35.46887 35.39349 34.86550    9.92  -87.43  198.95   16.91   18.70 4.4986e+08 1.0263e+09 19.96620 2.63431 0.64140   38657 7.2191e+05     4155       -1       -1
20827040 35.05055 35.42799 34.82861   11.29   11.19  250.40   13.98   16.86 7.0732e+07 2.4577e+08 10.77606 0.89485 0.25000  2485.4   95960      403 20831179 20831179
20827052 34.96672 35.42096 34.70239  205.33   31.15  230.23   13.91   13.52 3.3254e+08 3.3319e+08 18.05211 1.81070 0.98670  4457.9 1.4747e+05     1919 20831179 20831179
20827054 34.97979 35.39958 34.78165  171.62   -7.24  252.72    8.14    8.24 2.6859e+07 4.7724e+07 7.80282 0.95659 0.57500  106.84  9485.2      243 20831179 20831179
20827058 35.04108 35.42860 34.76368   58.76   15.10  305.21    9.11   10.34 2.969e+07 8.3277e+07 8.06901 0.87167 0.36590  311.15   20818      368 20831179 20831179
20827065 35.17841 35.31702 34.71953   82.20  -78.03  329.03   11.88   12.15 7.9437e+07 1.0225e+08 11.20141 1.08324 0.39240  461.47   27818      541       -1       -1
20827066 35.19652 35.35949 34.78129   70.59  -40.95  353.52   11.35   11.95 6.4493e+07 1.1417e+08 10.44930 0.77731 0.37920  570.23   32503      505 20831179 20831179
20827074 34.86483 35.28781 35.00998  -24.70  -49.10  168.27    9.19    9.19 1.2766e+08 1.3567e+08 13.11972 2.65885 1.00000  706.64   38056      778       -1       -1
20827088 34.95569 35.39075 34.84901  -13.87 -190.64  145.51   14.44   14.51 3.0197e+08 3.5758e+08 17.48310 1.34269 0.84060  5105.4 1.6293e+05     2636 20831179 20831179
20827096 35.10166 35.41471 34.95413 -128.28  -34.93  136.66   11.71   11.22 1.4225e+08 1.5225e+08 13.60141 1.65583 0.94690  990.93   48799      903 20831179 20831179
20827118 34.97403 35.39967 35.05691  -74.68  -73.95  151.20    8.23    8.23 7.3e+07 8.5987e+07 10.89014 1.44184 1.00000  241.62   17285      570       -1       -1
20827124 35.15342 35.37223 35.13981  -96.66 -101.29  125.77   13.31   13.31 3.2338e+08 3.2347e+08 17.88592 1.79863 1.00000  4209.3 1.4137e+05     2117       -1       -1
20827130 34.98963 35.47513 35.06481    0.79  -43.66  193.48   10.05   10.24 6.9789e+07 9.3681e+07 10.72817 0.87744 0.69460  390.06   24583      778       -1       -1
20827149 35.14925 35.41836 34.85825  183.82 -213.18  153.05    8.18    8.43 6.0141e+07 7.4577e+07 10.20845 1.16619 0.86720  251.75   17815      543 20831179 20831179
20827176 35.11592 35.46699 34.98422  126.80  -77.05   77.41    8.35    9.04 4.3873e+07 7.5962e+07 9.19014 1.63251 0.62820   260.8   18284      386 20831179 20831179
20827193 34.99938 35.45654 34.88096  -64.04 -152.72  293.83   10.89   13.38 8.5676e+07 2.5498e+08 11.48732 0.82344 0.50860  2667.1 1.0107e+05      648 20831179 20831179
20827217 35.26189 35.49949 34.78794  -26.66  -94.59  346.07    9.86   10.35 6.7901e+07 1.0458e+08 10.62958 1.49874 0.61490  481.86   28717      910 20831179 20831179
20827223 35.06193 35.39398 34.88830  -56.41 -116.73  220.41   10.96   11.76 4.4634e+07 1.0635e+08 9.24366 0.80590 0.36590  497.63   29406      255 20831179 20831179
20827225 35.09582 35.42126 34.84365  -65.07 -150.96  181.93   10.35   12.22 4.369e+07 1.1228e+08 9.17746 0.78208 0.30280  552.23   31745      462 20831179 20831179
20827241 35.14693 35.44226 34.94513   13.28  -65.81  410.48    8.74    8.68 5.5408e+07 7.7479e+07 9.93380 1.30904 0.73440  270.89   18802      421 20831179 20831179
20827243 34.96144 35.12774 35.04880  -42.96  -70.64  203.24   10.72   10.75 1.0459e+08 1.4144e+08 12.27746 1.06890 0.73440  481.94   28721      794       -1       -1
20827250 34.93042 35.21320 35.03351  -34.12  -63.16  196.56    8.11    9.75 1.3049e+07 4.7155e+07 6.13521 0.46958 0.31610  8.8611  1520.1       70 20827252 20827252
20827252 34.94130 35.21896 35.02544  -48.29  -46.05  198.17   30.19   30.19 4.3507e+09 4.5703e+09 42.53803 5.43478 1.00000 6.1871e+05 5.5378e+06    26591       -1       -1
20827259 34.97930 35.29327 35.03987  -72.56  -66.50  176.59   19.11   19.11 1.3239e+09 1.3519e+09 28.61127 4.97103 1.00000   63028 1.0341e+06     8669       -1       -1
20827284 34.95238 35.27146 35.06508   69.08 -138.32  296.69   11.23   11.71 8.3211e+07 1.327e+08 11.37606 0.98127 0.45880   761.2   40195      861       -1       -1
20827297 35.07380 35.42388 34.99361   79.61 -115.23  338.58   20.05   25.57 5.5817e+08 1.7429e+09 21.45352 2.00594 0.48540 1.0685e+05 1.5243e+06     5954 20831179 20831179
20827300 35.05024 35.46102 34.85218  139.76 -129.69  367.04    8.95    9.63 2.5915e+07 5.2394e+07 7.70986 0.65030 0.53520  127.82   10822      166 20831179 20831179
20827312 35.05834 35.23130 35.16482  113.75  -59.76  212.94    8.52   10.69 3.4606e+07 1.0925e+08 8.49155 1.13053 0.30280  523.98   30543      196       -1       -1
20827327 34.76785 35.12894 35.18589  -32.16   79.09  142.92    9.35   10.14 6.6944e+07 1.0736e+08 10.58028 1.26478 0.69460   506.7   29799      565       -1       -1
20827353 34.80351 35.33251 34.95413    0.70    8.01  205.33   14.35   16.01 1.9606e+08 4.7234e+08 15.13944 1.63155 0.47210  8712.2 2.4137e+05     1248       -1       -1
20827354 34.81958 35.34730 34.94043   -3.60   13.73  205.87   10.85   12.08 7.8479e+07 1.792e+08 11.15634 1.30513 0.49870  1355.1   61430      514       -1       -1
20827362 34.92685 35.40867 35.07406   -8.24   40.04   19.67    8.10    7.51 3.9718e+07 5.4185e+07 8.89014 0.80534 0.61490  136.34   11348      450       -1       -1
20827369 35.06234 35.28208 34.91316    4.93   25.52   75.34   10.27   15.54 4.4634e+07 3.6019e+08 9.24366 0.96329 0.31610  5177.2 1.6461e+05      243       -1       -1
20827371 35.21018 35.22450 34.91922  -28.47   -5.34   68.11   11.01   18.89 4.5394e+07 5.9831e+08 9.29437 0.79213 0.35260   13717 3.37e+05      309       -1       -1
20827375 35.08951 35.46606 34.88408   -5.57   92.47   -8.77    9.22   15.99 1.1915e+07 2.0455e+08 5.95211 0.28693 0.22640  1747.1   74049       71 20831211 20831179
20827389 35.00968 35.42682 34.87516  -48.23   12.29  144.60    8.68    9.56 3.669e+07 7.2817e+07 8.65915 1.18760 0.32930  240.46   17224      226 20831179 20831179
20827393 35.02363 35.39319 34.91778   46.75   89.96  199.99   10.17   12.47 5.9761e+07 1.5145e+08 10.18732 1.14047 0.33930  981.08   48442      351 20831179 20831179
20827413 35.16066 35.38940 34.99661  -18.16   87.82   12.34    9.62    9.28 6.6e+07 1.1304e+08 10.53099 1.45043 0.69460  559.43   32049      653 20830644 20831179
20827417 35.19354 35.37711 35.07909 -117.81  104.61  173.57   10.50   10.56 1.1196e+08 1.2772e+08 12.55915 1.23951 0.66800  707.29   38082      981       -1       -1
20827436 35.14331 35.38740 34.89581   38.35 -114.92  211.32   10.09   14.25 3.7254e+07 3.6352e+08 8.70282 0.88733 0.39240  5269.6 1.6677e+05      401 20831179 20831179
20827437 35.06139 35.38329 34.86816   79.91   21.86  166.49    9.95   16.62 3.9521e+07 3.1601e+08 8.87606 0.92824 0.26290    4027 1.3684e+05      411 20831179 20831179
20827438 35.16768 35.39609 34.97651  105.33   28.63  152.74    8.81    9.73 2.7423e+07 7.1615e+07 7.85775 0.61838 0.28950   232.9   16824      150 20830644 20831179
20827458 35.00714 35.17415 35.11750  -45.08   31.15  300.65   11.04   11.04 1.3996e+08 1.4249e+08 13.52817 1.42035 1.00000  843.09   43332      847       -1       -1
20827459 35.18396 35.11906 34.98882  -90.80   25.00  288.61    8.25    8.25 5.2958e+07 5.3587e+07 9.78451 0.64582 1.00000  130.47   10986      330       -1       -1
20827477 34.95269 35.11222 35.08189  168.85   70.17  222.57   13.26   13.26 2.3958e+08 2.4024e+08 16.18451 1.41984 1.00000  2366.4   92562     1635       -1       -1
20827491 35.09523 35.53908 34.86161 -102.34   24.72   78.23    9.77   13.88 2.6859e+07 2.6751e+08 7.80282 0.83479 0.52190  2924.5 1.0816e+05      806 20831179 20831179
20827497 35.25106 35.45280 34.98102   -7.67  -70.60  239.15   26.21   32.78 1.2806e+09 5.9948e+09 28.29577 2.48726 0.49870 1.1447e+06 8.6968e+06    14802 20831179 20831179
20827500 35.11728 35.33685 34.83451   35.68   56.92  303.81   10.67   12.11 8.2451e+07 1.4001e+08 11.34085 1.66507 0.53520  843.74   43357      472 20831179 20831179
20827502 35.18463 35.42318 34.95943  -49.02   26.03  312.35    9.07   10.13 3.1211e+07 5.5923e+07 8.20423 0.85076 0.32930  144.85   11865      179 20831179 20831179
20827503 35.18779 35.48639 34.96461  -73.56   28.18  255.00   10.12   10.93 3.8394e+07 7.4958e+07 8.79014 0.57147 0.37920  254.22   17944      319 20831179 20831179
20827505 35.08315 35.48725 34.95715   49.18   38.37  254.24   14.58   20.03 9.8535e+07 5.3099e+08 12.03521 0.97576 0.23970   10907 2.8473e+05      675 20831179 20831179
20827506 35.02644 35.48049 34.85954  -34.77   58.56  332.69   12.49   12.31 1.1366e+08 1.7432e+08 12.62254 1.46005 0.48540  1285.1   59080      694 20831179 20831179
20827543 34.99507 35.41027 34.85633   85.97  -41.58  245.52    9.59    9.45 3.1775e+07 4.7662e+07 8.25352 0.61968 0.89380  106.57  9467.8      274 20831179 20831179
20827547 35.17711 35.41285 34.81767   66.01  -14.35  330.62    8.70    8.59 1.6831e+07 3.4418e+07 6.67746 0.52627 0.45880  57.041  5978.7      144 20831179 20831179
20827561 35.13532 35.41154 34.99904   74.32   72.53  280.23   11.74   13.11 6.5056e+07 1.4845e+08 10.48028 0.88551 0.30280  944.05   47091      454 20831179 20831179
20827569 35.24362 35.31536 34.79125   14.75 -201.97  195.77   11.81   12.00 2.007e+08 2.5742e+08 15.25493 1.59872 0.80080  2716.3 1.0244e+05     1553       -1       -1
20827572 35.24104 35.49068 34.84764 -132.22 -106.32  188.51    9.05    9.14 4.2169e+07 6.3174e+07 9.07042 0.99419 0.50860  183.06   14094      359 20831179 20831179
