# 
# ID	X(Mpc)	Y(Mpc)	Z(Mpc)	Vx(km/s)	Vy(km/s)	Vz(km/s)	Vmax(km/s)	Vpeak(km/s)	Mvir(Msun)	Mpeak(Msun)	Rvir(kpc)	Rmax(kpc)	apeak	Mstar_preferred(Msun)	Mstar_Behroozi2013(Msun)	npart	PID	UpID
# 
64789666 35.43685 35.25133 34.83701   10.34 -176.31  224.08  194.56  194.56 2.1732e+12 2.7491e+12 337.49718 71.43225 1.00000 4.7809e+10 4.7809e+10  7110954       -1       -1
64785761 34.98569 35.17120 35.58552   46.20 -118.08   98.56  193.69  193.69 2.1408e+12 2.1408e+12 335.86901 89.26261 1.00000 4.7394e+10 4.7394e+10  7551118       -1       -1
64488342 34.80049 35.51104 36.33300   15.58  -60.23   58.11   17.96   19.42 2.6479e+08 5.0169e+08 16.73239 0.88758 0.39240  2867.6 1.0661e+05     1862       -1       -1
64488346 34.78228 35.59329 36.41142    9.59 -104.13   39.73   11.25   12.10 7.6211e+07 1.554e+08 11.04789 0.98933 0.47210  262.44   18369      651 64488461 64488461
64488350 34.95721 35.62085 36.17631  -10.01 -128.64   55.65   12.26   15.03 1.0401e+08 3.173e+08 12.25493 1.37494 0.50860  476.84   28497      755       -1       -1
64488364 34.94758 35.70342 36.21310    5.30 -136.04   23.76    8.61    7.95 3.4803e+07 5.9892e+07 8.50704 0.48317 0.57500  58.272  6073.4      261 64488451 64488451
64488373 34.70456 35.55396 36.49725   -9.39  -82.47   39.91   15.42   17.67 1.9704e+08 4.3638e+08 15.16338 1.46831 0.48540    1626   70239     1156       -1       -1
64488374 34.71983 35.54544 36.60121  -18.06  -96.00   64.55   16.20   17.85 2.7592e+08 5.1883e+08 16.96338 1.63098 0.45880  3103.5 1.1299e+05     2596       -1       -1
64488382 34.73163 35.46546 36.50027   46.88  -69.09   72.32   17.45   18.67 4.1225e+08 7.0432e+08 19.39437 1.80134 0.53520  6709.2 1.9918e+05     2323       -1       -1
64488386 34.78987 35.49173 36.49368   11.55  -40.87   71.87   10.64   13.84 6.6197e+07 3.1399e+08 10.54085 1.42379 0.41900  200.25   15055      383       -1       -1
64488406 34.61473 35.60456 36.54954  -15.95 -112.34  114.59   14.91   14.89 3.7366e+08 4.2575e+08 18.76901 1.94413 0.68130  5555.4 1.7337e+05     2581       -1       -1
64488410 34.63766 35.61657 36.57183  -10.33 -127.73  114.84   14.11   13.24 4.5915e+08 9.3291e+08 20.10282 3.04041 0.66800  8251.2 2.3191e+05     4789 64488726 64488726
64488433 34.76972 35.51830 36.42820   48.08  -89.18   83.09   12.25   12.54 1.3976e+08 2.1681e+08 13.52254 1.30125 0.44560  840.81   43246      873 64488461 64488461
64488435 34.90372 35.76812 36.22263   42.15 -103.76   71.06    8.97    8.75 4.8225e+07 7.0038e+07 9.48451 0.66719 0.43230  109.01  9626.2      275       -1       -1
64488436 34.91728 35.71771 36.26682   25.95 -130.04   47.53   21.55   25.73 8.3972e+08 2.5583e+09 24.58310 3.40011 0.54850   26296 5.4382e+05     5292       -1       -1
64488449 34.94577 35.68929 36.22080    8.99 -119.14   86.79   13.15   14.20 7.7169e+07 5.3145e+08 11.09296 0.79456 0.36590  268.81   18695      411 64488451 64488451
64488450 34.92476 35.68163 36.24731    9.32 -160.21   59.21   12.73   14.53 1.0592e+08 2.0756e+08 12.32817 1.14413 0.44560  493.72   29235      573 64488451 64488451
64488451 34.95423 35.66235 36.23544    3.03 -131.39   55.81   44.60   44.34 1.1531e+10 1.5644e+10 58.86761 5.76796 0.92700 4.0145e+06 2.1786e+07    73207       -1       -1
64488459 34.76806 35.54937 36.38904   43.07  -94.79   59.61   25.29   28.47 9.1479e+08 2.1235e+09 25.29437 2.29265 0.44560   30995 6.1369e+05     5231 64488461 64488461
64488461 34.78108 35.56567 36.44473    9.64  -76.33   57.67   49.70   49.70 2.6028e+10 5.3246e+10 77.21972 6.49329 1.00000 1.9048e+07 6.7491e+07   153319       -1       -1
64488481 34.93983 35.62440 36.29262  161.29 -102.63  222.52    9.55    9.67 3.3662e+07 4.993e+07 8.41408 0.66897 0.64140   54.66  5794.2      220 64869686 64869686
64488487 34.91838 35.60174 36.36613  123.52 -136.26  203.12   10.78   10.86 8.662e+07 1.3056e+08 11.52958 1.62355 0.47210  335.57   22008      531 64488767 64488767
64488519 34.90217 35.68756 36.41687  195.09 -122.16  260.03   19.24   19.24 9.131e+08 9.5592e+08 25.27887 3.30956 1.00000   30885 6.1209e+05     6787       -1       -1
64488521 34.95868 35.53982 36.31637   76.14 -115.27  202.69   11.42   11.33 1.4803e+08 1.823e+08 13.78592 1.43402 0.86060   938.9   46902     1068 64869686 64869686
64488528 34.95489 35.78040 36.15645  185.68 -128.52  268.61   13.46   13.46 4.7986e+08 4.8272e+08 20.40000 2.27569 1.00000  8980.4 2.4681e+05     2823       -1       -1
64488553 34.94031 35.65178 36.42500  240.81  -54.48  226.03   11.25   11.32 1.1196e+08 1.939e+08 12.55915 0.84822 0.54850  549.21   31618      811 64488748 64488767
64488561 34.94832 35.49508 36.38938  158.29 -104.94  207.03    8.47    9.36 3.7254e+07 6.4366e+07 8.70282 1.42788 0.41900  66.405  6685.9      362       -1       -1
64488565 34.78359 35.57143 36.49482   25.19  -49.57   36.34   14.77   15.92 1.269e+08 2.9145e+08 13.09437 1.14865 0.35260  698.58   37736      722 64488461 64488461
64488568 34.65968 35.61146 36.58990  146.68  -33.56  130.23    9.50   10.44 4.7465e+07 9.9225e+07 9.43521 0.64934 0.53520  105.73  9412.5      350 64488703 64488726
64488575 34.76762 35.60208 36.61828  137.17  -22.73  147.66    8.66    8.40 3.5183e+07 4.8798e+07 8.53803 0.60769 0.64140    59.5  6167.3      211       -1       -1
64488590 34.67104 35.58949 36.59703  126.00   -6.83  205.29   10.24   12.48 3.9901e+07 3.3432e+08 8.90423 0.62782 0.39240  75.763  7366.6      332 64488726 64488726
64488624 34.73335 35.72520 36.54649  162.51 -117.49  232.70    8.31    8.31 2.6859e+07 2.7484e+07 7.80282 0.40055 1.00000  35.434  4212.6      153       -1       -1
