# 
# ID	X(Mpc)	Y(Mpc)	Z(Mpc)	Vx(km/s)	Vy(km/s)	Vz(km/s)	Vmax(km/s)	Vpeak(km/s)	Mvir(Msun)	Mpeak(Msun)	Rvir(kpc)	Rmax(kpc)	apeak	Mstar_preferred(Msun)	Mstar_Behroozi2013(Msun)	npart	PID	UpID
# 
18582282 34.89483 35.25759 34.94737  141.92 -169.69   49.05  168.92  168.92 1.1935e+12 1.1952e+12 276.40282 65.94539 1.00000 3.142e+10 3.142e+10  4980823       -1       -1
18593176 35.52770 35.16494 35.47517   64.81  -98.10  -48.17  224.82  224.82 2.8423e+12 2.8423e+12 369.10141 92.80858 1.00000 5.5236e+10 5.5236e+10  9731546       -1       -1
18578629 34.77438 35.06866 34.79235  103.30 -135.96   -2.52    8.07    8.67 1.7775e+07 3.423e+07 6.80000 0.54998 0.50860  56.444  5932.7      143 18582282 18582282
18578640 34.73654 35.21846 34.85492  165.04 -227.00  -67.73    9.83   10.08 1.4366e+07 5.346e+07 6.33521 0.33668 0.21310  132.85   11134      178 18582282 18582282
18578642 34.73069 35.14968 34.86597  209.76 -180.13  -23.03    9.64   11.37 3.3662e+07 1.0118e+08 8.41408 0.80498 0.28950   452.2   27406      281 18582282 18582282
18578656 34.75311 35.13669 34.76499  174.04 -202.18   99.41   12.69   13.82 7.9803e+07 2.4282e+08 11.21831 0.89884 0.47210  2428.2   94334      543 18582282 18582282
18578663 34.56214 35.27406 34.64252  120.73 -147.93   47.93    9.66   10.38 3.007e+07 6.9855e+07 8.10282 0.62734 0.28950  222.03   16243      185       -1       -1
18578666 34.72873 35.17711 34.64275   41.60 -100.19    9.18   12.02   11.82 1.3258e+08 1.4545e+08 13.28732 0.84501 0.74770  907.71   45751      798       -1       -1
18578674 34.64456 35.15415 34.66965  163.87    6.85   43.04   16.08   16.08 8.0676e+08 8.0991e+08 24.25775 3.12598 1.00000   24350 5.1393e+05     4752       -1       -1
18578676 34.65511 35.25166 34.79155   42.83 -124.88  -35.31   14.13   19.29 1.8535e+08 4.1169e+08 14.85634 1.57602 0.32930  6691.6 1.988e+05     1604       -1       -1
18578678 34.74113 35.16980 34.71311   65.07  -56.59   71.45    9.10    9.42 6.1085e+07 7.7728e+07 10.26197 1.32666 0.62820  171.61   13440      388       -1       -1
18578687 34.88507 35.07768 34.76468   50.12 -142.27   44.09    9.24    9.73 4.6521e+07 7.8931e+07 9.37183 0.80115 0.66800  280.72   19301      625 18582282 18582282
18578693 34.75583 35.13069 34.73451  121.50  -91.96  176.84    8.61   10.92 2.7803e+07 6.292e+07 7.89437 0.93276 0.22640  181.65   14014      159       -1       -1
18578695 34.76621 35.16880 34.81152  121.32   -6.14  164.96    8.32    8.03 3.4423e+07 3.5183e+07 8.47606 0.61181 0.96020    59.5  6167.3      214 18582282 18582282
18578717 34.64028 35.22027 34.87018   24.68 -265.31   17.08    9.68   12.26 7.5648e+07 2.4912e+08 11.01972 1.83337 0.52190  2550.8   97811      771 18582282 18582282
18578722 34.70966 35.12197 34.84015   17.12 -242.22  -32.53    8.34    8.97 1.9296e+07 3.984e+07 6.98873 0.59702 0.88050  75.541  7350.7      249 18582282 18582282
18578724 34.78320 35.15532 34.85644   97.76 -199.03  -48.09    8.70   11.14 2.7803e+07 1.949e+08 7.89437 0.80532 0.35260  1592.2   69163      363 18582282 18582282
18578736 34.69965 35.02114 34.79106   95.44 -217.39   73.96    9.36   10.02 6.2028e+07 1.3596e+08 10.31549 1.33626 0.73440  797.48   41596      554       -1       -1
18578758 34.74245 35.19197 34.87925   81.85 -282.18  215.30    8.06    8.37 7.7535e+06 9.0775e+06 5.15775 0.35090 0.93360  4.4142  910.58       44 18578759 18582282
18578759 34.73546 35.18727 34.87883   94.22 -303.56  197.51   31.02   30.95 3.3507e+09 3.5743e+09 38.99437 3.82423 0.88050 4.2424e+05 4.198e+06    20866 18582282 18582282
18578764 34.71969 35.21477 34.83768   72.45 -283.70  199.89   12.83   13.28 1.7803e+08 2.5465e+08 14.65634 1.95349 0.49870  2660.5 1.0089e+05     1028 18582282 18582282
18578769 34.67051 35.08537 35.10072   56.83 -307.81  118.18   11.80   13.06 2.2775e+08 2.9087e+08 15.91127 1.44329 0.84060  3434.5 1.2173e+05     1946       -1       -1
18578776 34.82194 35.25872 35.07294  134.34 -160.14  139.37   10.82   14.98 4.1986e+07 2.5765e+08 9.05634 0.70145 0.30280  2721.1 1.0257e+05      293 18582282 18582282
18578779 34.76015 35.13428 35.05142   54.76 -249.40  180.21    8.10    8.72 3.007e+07 3.7254e+07 8.10282 0.71908 0.85390  66.405  6685.9      242 18582282 18582282
18578782 34.63796 35.11458 34.85176  255.14 -156.64   23.20   12.47   13.80 1.7042e+08 3.197e+08 14.44648 1.67358 0.53520  4117.7 1.391e+05     1196       -1       -1
18578793 34.73227 35.24617 34.77603  301.29 -172.44  -70.13    9.69    9.63 8.3028e+07 8.4099e+07 11.36761 1.48134 0.93360  317.07   21109      727 18582282 18582282
18578799 34.71000 35.09542 34.96035  127.33 -209.68    0.74    9.07   10.39 2.7423e+07 7.7789e+07 7.85775 0.74099 0.53520  272.97   18908      250 18582282 18582282
18578828 34.60970 35.15820 34.84882  177.86 -233.66   73.12   18.83   21.67 3.3366e+08 7.6531e+08 18.07183 1.52640 0.28950   22005 4.7705e+05     1868       -1       -1
18578829 34.61704 35.23492 34.84293  182.82 -158.93   83.12    8.61   11.65 1.569e+07 9.3676e+07 6.52394 0.52725 0.25000  390.02   24581      148       -1       -1
18578837 34.70015 35.21756 34.93631  161.71 -203.54  109.93   13.29   16.36 6.5437e+07 3.9005e+08 10.50000 0.81501 0.25000  6032.5 1.842e+05      476 18582282 18582282
18578846 34.64225 35.08777 35.10337  149.54 -166.60   72.03    8.17    9.04 2.7986e+07 5.6736e+07 7.91127 0.67040 0.30280  148.93   12109      262       -1       -1
18578853 34.70289 35.27527 35.09038  253.78 -203.36   96.38   18.32   20.91 3.2394e+08 7.2685e+08 17.89577 1.53390 0.47210   19931 4.4356e+05     2161 18582282 18582282
18578862 34.70670 34.88613 35.02273  108.71   17.80    5.42   12.44   10.38 1.9704e+08 4.1395e+08 15.16338 2.74741 0.65470    1626   70239     1787       -1       -1
18578869 34.79293 35.25214 34.84648   56.90  -57.24  -57.02   12.53   15.93 1.0024e+08 2.9352e+08 12.10423 1.41456 0.43230  3494.8 1.233e+05      964 18582282 18582282
18578878 34.77627 35.15403 35.08520   69.74  -29.06    4.26   18.74   18.71 7.8803e+08 8.1901e+08 24.06901 3.85637 0.92030   25065 5.2498e+05     4646 18582282 18582282
18578900 34.74572 35.04954 35.03248  143.73   49.62    4.59    8.66    9.82 7.338e+07 1.6145e+08 10.90845 1.23745 0.65470  1109.2   53019     1271 18582282 18582282
18578909 34.74566 35.13572 34.87918  122.17 -119.31   64.98    8.04   11.52 7.3761e+06 1.0219e+08 5.07183 0.23889 0.25000  460.94   27795       52 18582282 18582282
18578925 34.81761 35.18251 34.92620  205.20 -103.04  142.10    8.53   15.39 1.7014e+07 1.7296e+08 6.70282 0.53707 0.27620  1265.9   58429      173 18582282 18582282
18578957 34.58803 35.28403 34.80096  184.70 -211.98   76.32    9.21   10.50 4.8423e+07 9.3362e+07 9.49718 0.93909 0.65470  387.51   24465      277       -1       -1
18578977 34.73135 35.30499 34.94989  194.97 -272.57  111.75   15.90   18.15 2.3944e+08 6.0408e+08 16.18028 1.77212 0.48540   13972 3.416e+05     1957 18582282 18582282
18578978 34.76475 35.42115 34.65670  119.91 -204.34  167.68   14.88   14.57 1.7479e+08 2.0681e+08 14.56761 1.01338 0.30280  1291.8   59305      972       -1       -1
18578981 34.69983 35.37880 34.79334  119.01 -294.92   64.04    9.73    8.76 3.1394e+07 4.0723e+07 8.21972 0.54144 0.64140  78.786  7581.6      289       -1       -1
18578984 34.62718 35.37072 34.75108  155.35 -293.41   49.74    9.50    9.82 4.2169e+07 6.9221e+07 9.07042 0.63957 0.36590  218.18   16035      331       -1       -1
18578992 34.57083 35.37641 34.73038  122.80 -202.70   59.65   10.12   11.61 7.2239e+07 2.2526e+08 10.85211 1.39684 0.69460  2102.3   84848      909 18579269 18579269
18578995 34.78646 35.26934 34.70108  173.59 -195.45   73.78    8.81    9.48 1.7972e+07 3.9901e+07 6.82535 0.64979 0.53520  75.763  7366.6      134 18582282 18582282
18579007 34.63225 35.49665 34.66738  152.43 -185.59  109.74   13.73   14.78 1.1461e+08 2.45e+08 12.65775 0.89701 0.45880  2470.3   95532      643       -1       -1
18579009 34.67048 35.45363 34.82255  208.99 -320.94   66.97    8.63    8.63 5.2958e+07 6.2094e+07 9.78451 0.92896 1.00000  130.47   10986      425       -1       -1
18579013 34.48469 35.36249 34.55421  133.71 -131.75   36.31    8.19   10.19 2.1563e+07 5.6108e+07 7.25211 0.47265 0.22640  145.78   11920      127       -1       -1
18579018 34.51977 35.41397 34.62776  110.77 -134.66   82.60    8.29   10.42 2.1183e+07 4.5704e+07 7.20986 0.62809 0.21310  98.327  8923.3      139       -1       -1
18579020 34.54521 35.44048 34.62993  107.66 -142.63   92.08    9.54   13.78 2.8183e+07 1.1436e+08 7.92958 0.62558 0.25000  572.03   32578      157       -1       -1
18579023 34.41297 35.50392 34.48603  177.91  -73.65   42.34   16.60   16.64 4.1507e+08 4.5887e+08 19.43803 1.77152 0.73440  6797.5 2.011e+05     2465       -1       -1
18579028 34.44027 35.46715 34.52215  171.78  -79.09   54.57   23.36   23.36 2.8268e+09 3.3037e+09 36.84085 9.71881 1.00000 2.7039e+05 3.0155e+06    14707       -1       -1
18579029 34.44208 35.46173 34.52804  175.73  -74.48   26.88   13.63   15.48 2.5479e+08 6.0643e+08 16.51831 2.12064 0.74770  2663.3 1.0097e+05     1512 18579028 18579028
18579058 34.52261 35.31648 34.61773   88.88 -132.90   60.55   12.32   12.41 1.3011e+08 2.0009e+08 13.20423 1.31327 0.68130  1674.7   71780     1420       -1       -1
18579062 34.72686 35.37118 34.61083   93.15 -117.99   81.12    9.61    9.76 4.9169e+07 9.5255e+07 9.54648 1.14420 0.54850  402.74   25168      290       -1       -1
18579068 34.66311 35.35994 34.66042  151.09 -116.32  105.18   10.50   12.10 2.9887e+07 1.0604e+08 8.08592 0.69339 0.32930  494.81   29283      163       -1       -1
18579069 34.60966 35.42234 34.75428   64.34 -165.43   51.41   13.74   14.48 1.407e+08 1.9986e+08 13.55352 0.78024 0.76100  1670.9   71661     1408       -1       -1
18579073 34.74904 35.43258 34.87911  143.32 -174.59  176.04   12.87   13.51 1.1801e+08 1.6258e+08 12.78169 0.97772 0.53520  1124.1   53542      732 18582282 18582282
18579076 34.81390 35.32406 34.74130  104.56  -15.29   70.19   11.35   12.41 6.5254e+07 1.477e+08 10.49014 0.99178 0.32930  934.91   46755      377 18582282 18582282
18579083 34.74954 35.28515 34.62038  195.95 -149.16  176.52    8.51   10.65 3.631e+07 6.3676e+07 8.62817 1.05560 0.28950  63.213    6448      215 18581022 18581022
18579089 34.71017 35.42887 34.66342  141.37  -89.13   36.34    8.92    9.02 5.069e+07 8.4286e+07 9.64366 1.04303 0.72110  318.43   21176      509       -1       -1
18579091 34.74128 35.36987 34.73441  148.51  -71.32   16.76   17.15   17.89 2.6859e+08 3.6512e+08 16.81127 1.40518 0.31610  5314.1 1.678e+05     1849       -1       -1
18579093 34.72068 35.45138 34.81303  173.50 -112.49  105.56    9.84    9.67 4.1803e+07 7.4831e+07 9.04225 1.00020 0.40570  253.39   17901      258       -1       -1
18579097 34.68901 35.47565 34.72670  139.90 -107.55   30.07    9.64   12.68 4.1986e+07 1.2697e+08 9.05634 0.59525 0.30280  699.27   37764      420       -1       -1
18579098 34.68144 35.49900 34.75145  152.56 -112.14   29.86    8.57    9.04 4.2169e+07 8.3967e+07 9.07042 1.08589 0.73440  316.12   21062      404       -1       -1
18579101 34.68354 35.46158 34.70435  177.17 -184.97   70.70   16.39   20.30 2.8901e+08 7.3178e+08 17.22676 1.67706 0.28950   20192 4.4782e+05     3239       -1       -1
18579121 34.79828 35.27230 34.90276  143.00 -248.64  -76.52   12.31   13.91 6.5634e+07 2.4901e+08 10.50986 0.78359 0.37920  2548.6   97751      624 18582282 18582282
18579128 34.69080 35.36323 35.09761   84.81 -198.36 -139.49    9.59    9.66 3.1958e+07 4.5704e+07 8.26901 0.86762 0.52190  98.327  8923.3      176 18582282 18582282
18579134 34.80318 35.59058 35.00496   90.67 -149.23   32.81    9.60   10.31 5.2197e+07 1.2148e+08 9.73803 0.99711 0.35260  642.44   35482      522       -1       -1
18579135 34.69915 35.53659 35.04839   85.92 -209.47 -122.24    8.80    9.40 2.969e+07 5.8822e+07 8.06901 0.71477 0.50860  159.61   12742      174       -1       -1
18579139 34.78383 35.43289 34.72711  147.79 -186.76 -133.70    9.35    8.97 4.0845e+07 5.4784e+07 8.97465 0.55868 0.82740  139.24   11525      502       -1       -1
18579146 34.80700 35.26894 34.88590  255.08 -145.07    1.96   10.08   15.83 3.3859e+07 2.4728e+08 8.42958 0.84100 0.25000  2514.6   96790      309 18582282 18582282
18579148 34.64758 35.27508 34.95015  224.25 -147.18   -7.43    8.95    9.63 2.4592e+07 4.7601e+07 7.57746 0.77133 0.39240  106.31  9450.7      205 18582282 18582282
18579150 34.77775 35.39641 34.98593  203.25 -230.18  -37.84    9.37   10.26 2.8183e+07 7.1493e+07 7.92958 0.68626 0.35260  232.14   16784      234 18582282 18582282
18579152 34.80804 35.27725 34.98032  345.99 -182.75  -70.13    9.30   11.81 3.6507e+07 1.0149e+08 8.64366 0.81898 0.30280   454.9   27527      213 18582282 18582282
18579159 34.77418 35.33970 35.01348  253.04 -299.43  -52.83   11.05   11.16 5.8437e+07 1.3377e+08 10.11127 0.59938 0.58830  772.99   40653      335 18582282 18582282
18579162 34.82496 35.32682 35.11200  215.90 -237.09  -89.76    8.79   11.99 1.4944e+07 4.5766e+07 6.41831 0.50491 0.15010  98.582  8940.3       87 18582282 18582282
18579163 34.82976 35.33518 35.10824  258.33 -197.25  -58.01    8.10    8.70 2.969e+07 6.9848e+07 8.06901 0.85609 0.62820  221.99   16241      212 18582282 18582282
18579181 34.87217 35.33155 34.78799  -17.64 -234.32   73.03   32.28   33.29 3.6648e+09 6.0757e+09 40.17606 6.15571 0.68130 1.1745e+06 8.8623e+06    21271 18582282 18582282
18579182 34.86830 35.32773 34.81249  -16.27 -224.70   87.56    9.40   15.06 2.9887e+07 2.9786e+08 8.08592 0.77375 0.39240  3594.6 1.2588e+05      158 18579181 18582282
18579217 34.80186 35.59479 34.83348  138.23 -261.47   95.08   10.63   10.01 6.2986e+07 1.1177e+08 10.36761 0.95686 0.64140  547.49   31545      341       -1       -1
18579223 34.65959 35.34214 34.91206  239.51 -317.93   60.10   10.65   10.48 6.7324e+07 9.8789e+07 10.60000 1.06805 0.30280  431.91   26497      392 18582282 18582282
18579228 34.75039 35.24290 34.83676  242.19 -266.15   69.89    8.36    9.02 3.2535e+07 6.9911e+07 8.31831 0.74548 0.48540  222.37   16262      667 18582282 18582282
18579234 34.81713 35.29010 34.90317  289.50 -405.87  113.22    8.02    8.01 7.9056e+07 8.6995e+07 11.18310 1.10037 0.94690  338.37   22143      513 18582282 18582282
18579237 34.78959 35.41476 34.92221  219.98 -330.68   90.12   12.81   12.69 1.0989e+08 2.1216e+08 12.48028 1.21415 0.64140  1873.9   77966     1202 18582282 18582282
18579247 34.75928 35.24118 35.06817  164.68 -231.73   92.36    9.75   11.40 6.2408e+07 1.5223e+08 10.33521 1.03447 0.53520  990.75   48793      987 18582282 18582282
18579249 34.80596 35.33692 34.90000   92.12 -209.73  195.79   14.03   13.90 1.2577e+08 2.3131e+08 13.05493 1.16511 0.49870  2212.2   88086      931 18582282 18582282
18579250 34.77115 35.46294 34.87824  189.38 -279.99  124.21    8.92    8.95 2.8366e+07 5.3714e+07 7.94648 0.49116 0.40570  134.07   11209      174 18582282 18582282
18579260 34.49442 35.43642 34.67558  177.14 -188.92   71.41   13.78   15.08 1.4183e+08 2.3329e+08 13.58873 1.21632 0.36590  2248.6   89148      805       -1       -1
18579261 34.61023 35.31400 34.62803  217.35 -160.70   73.94    8.36   10.61 2.6479e+07 6.7897e+07 7.76620 0.71007 0.27620  210.24   15604      175       -1       -1
18579264 34.59562 35.37325 34.73290  216.88 -180.33   83.40    9.95   12.86 5.2577e+07 1.5746e+08 9.76197 0.76363 0.31610  1057.2   51178      317 18579269 18579269
18579266 34.63331 35.39297 34.71431  215.51 -198.18   81.81   16.66   21.60 1.7338e+08 4.9817e+08 14.53099 1.04035 0.22640  9649.8 2.6021e+05     1146 18579269 18579269
18579269 34.59497 35.38787 34.68286  161.96 -145.75   85.23   45.14   51.12 1.0615e+10 1.7986e+10 57.26761 9.91061 0.50860 9.4053e+06 4.05e+07    88994       -1       -1
18579299 34.85414 35.32392 35.01170  261.86 -262.72   64.78   12.39   16.37 7.1493e+07 3.534e+08 10.81408 1.20311 0.41900  4991.4 1.6025e+05      455 18581371 18582282
18579308 34.76070 35.31141 35.00669  103.29 -196.51  149.10   11.66   12.93 7.3944e+07 1.4451e+08 10.93662 0.96338 0.30280  896.49   45334      679 18582282 18582282
18579310 34.71948 35.37658 34.94087  294.78 -210.18   84.62    8.83    8.90 2.7042e+07 5.6676e+07 7.82113 0.81306 0.52190  148.62   12091      448 18582282 18582282
18579314 34.80215 35.45335 34.78055  148.42 -137.84  130.37   16.59   18.73 2.0704e+08 5.708e+08 15.41690 1.42099 0.43230   12531 3.1533e+05     1214 18582282 18582282
18579316 34.79828 35.50094 34.90204  135.23 -203.98  147.89   11.46   11.73 8.3972e+07 1.2413e+08 11.40986 1.10240 0.56180  669.59   36578      552 18582282 18582282
18579319 34.82954 35.61513 34.84487  158.83 -151.05   84.34    8.78    9.34 2.4211e+07 7.4322e+07 7.53803 0.68594 0.31610  250.09   17729      156       -1       -1
18579321 34.68954 35.52941 34.94121  150.56 -265.19   95.54    9.35   10.20 6.1465e+07 1.0856e+08 10.28310 0.80074 0.57500  517.65   30271      587       -1       -1
18579333 34.81692 35.29297 34.89418  -21.02 -101.14  -42.88    8.16   11.71 2.269e+07 7.0732e+07 7.37746 0.64683 0.39240  227.42   16532      161 18582282 18582282
18579336 34.80017 35.33320 35.11139  124.18  -98.14 -138.51   12.58   12.43 1.0724e+08 1.4254e+08 12.37887 0.96711 0.48540  873.15   44463      651 18582282 18582282
18579386 34.74210 35.27006 34.86794   28.12 -151.69  102.25   10.15   16.26 4.8606e+07 2.97e+08 9.50986 1.20829 0.28950  3574.7 1.2536e+05      616 18582282 18582282
18579390 34.74094 35.50721 34.97080  -24.98 -110.01   50.81    9.17    9.34 7.0549e+07 7.6784e+07 10.76620 0.94782 0.84060  266.24   18564      632       -1       -1
18579392 34.69763 35.34731 34.84187   94.98 -135.72  144.35    9.64    9.75 5.1817e+07 8.6559e+07 9.71408 0.88348 0.33930  335.12   21986      418 18582282 18582282
18579395 34.71386 35.30197 34.88494   45.41 -147.66   59.60    8.33    9.37 2.4394e+07 5.4535e+07 7.55775 0.75077 0.39240  138.03   11451      200 18582282 18582282
18579399 34.75303 35.43159 34.84159  100.24 -123.27   59.13   10.48   13.52 3.8577e+07 1.3321e+08 8.80423 0.94812 0.28950  766.79   40412      264 18582282 18582282
18579406 34.81277 35.33300 34.97959  106.40   -5.88   46.15    9.00    9.88 2.1746e+07 5.3648e+07 7.27324 0.34123 0.33930  133.75   11189      155 18582282 18582282
18579411 34.72861 35.31524 35.00235  104.26 -105.98   34.22    9.03   10.03 2.1746e+07 5.1762e+07 7.27324 0.64858 0.36590  124.87   10638      161 18582282 18582282
18579431 34.65035 35.30454 34.83476  233.49 -121.87  120.42    9.12   11.88 4.993e+07 1.3989e+08 9.59437 0.95798 0.31610  842.27   43301      279 18582282 18582282
18579434 34.76685 35.35404 34.86899  185.59  -90.14   69.64    8.50    8.77 1.2672e+07 2.7549e+07 6.07465 0.52880 0.44560  37.202  4366.2      120 18582282 18582282
18579441 34.75825 35.44977 34.85021  181.35 -124.35  135.50   11.88   14.09 6.6e+07 1.985e+08 10.53099 0.90459 0.28950  1649.1   70972      405 18582282 18582282
18579452 34.77154 35.16706 34.88555  144.42   16.41  165.75    8.47    8.99 3.2338e+07 3.562e+07 8.30141 0.75959 0.93360  60.926  6275.6      285 18582282 18582282
18579470 34.97794 35.22982 34.85149   -1.83 -196.12 -116.80    8.82    9.08 5.8056e+07 6.6131e+07 10.09014 1.40150 0.88050  199.87   15034      425 18582282 18582282
18579486 34.95546 35.17069 34.84144  137.07 -250.08   25.37   11.64   14.91 3.4042e+07 1.6991e+08 8.44507 0.44403 0.25000  1223.4   56979      211 18582282 18582282
18579494 34.88592 35.25970 34.90487   42.81 -370.29  -99.58    9.80   12.06 3.3282e+07 1.1316e+08 8.38169 0.66011 0.27620  560.59   32098      241 18582282 18582282
18579506 34.77582 35.01099 34.82790   90.81 -142.95    4.26   12.02   14.18 1.0515e+08 2.8577e+08 12.29859 1.38519 0.37920  3319.9 1.1873e+05     1064       -1       -1
18579509 34.99644 35.05889 34.96545  119.79 -219.11 -127.36    9.61    9.28 6.9972e+07 7.6469e+07 10.73803 1.23436 0.89380  264.15   18457      406 18582282 18582282
18579517 34.91407 35.08806 35.09385  117.18 -322.07   52.57    9.15    9.12 4.7662e+07 5.7178e+07 9.44789 0.74773 0.81410  151.16   12243      332 18582282 18582282
18579537 34.89970 35.14237 35.01123   41.87 -315.68   65.61    9.28   10.26 3.1211e+07 7.6155e+07 8.20423 0.90609 0.35260  262.07   18350      225 18582282 18582282
18579551 34.93331 35.14024 34.98780  111.34 -222.28  -15.28    9.86   10.58 2.4394e+07 7.045e+07 7.55775 0.68603 0.40570  225.68   16439      193 18581156 18582282
18579554 34.95075 35.20731 35.00139  -41.57 -254.52  -58.37    8.14    7.31 1.2672e+07 7.2962e+07 6.07465 0.61378 0.50860  241.38   17273      121 18582282 18582282
18579556 34.95789 35.23870 34.92311   68.96 -393.19   34.07   11.05   11.50 7.5268e+07 1.4228e+08 11.00141 1.03837 0.53520  870.17   44352      453 18580653 18582282
18579560 34.95303 35.18018 35.01521   74.32 -286.32   26.68    8.74    8.08 1.7014e+07 4.3874e+07 6.70282 0.58527 0.45880  90.905  8422.9      463 18582282 18582282
18579583 34.97490 35.23132 35.05179  160.38 -329.67  -77.94    9.20    9.75 2.9127e+07 4.0972e+07 8.01690 0.64345 0.58830  79.713  7647.1      164 18582282 18582282
18579591 35.04611 35.22977 35.04101  107.40 -172.86  -54.41   10.58   11.27 3.1775e+07 5.3141e+07 8.25352 0.58821 0.48540  131.34   11040      171 18582282 18582282
18579595 34.95345 35.21072 35.05018   78.48 -222.83   18.28    8.52   12.94 1.3239e+07 1.6596e+08 6.16479 0.52663 0.23970  1169.4   55120      125 18582282 18582282
18579627 34.94821 34.98820 34.77939  109.06 -196.48   93.80    8.15    7.86 1.6268e+07 2.484e+07 6.60141 0.40447 0.39240  30.497  3772.5      137       -1       -1
18579633 34.85379 35.18886 34.82504   35.06 -181.57  193.17    8.33   10.16 1.5887e+07 4.2554e+07 6.55070 0.43339 0.22640  85.728  8067.4      102 18582282 18582282
18579643 34.81183 35.18969 34.95176  -99.24 -236.17  113.96   13.59   13.75 2.207e+08 2.8582e+08 15.74648 1.90625 0.90700  3320.9 1.1876e+05     1585 18582282 18582282
