# 
# ID	X(Mpc)	Y(Mpc)	Z(Mpc)	Vx(km/s)	Vy(km/s)	Vz(km/s)	Vmax(km/s)	Vpeak(km/s)	Mvir(Msun)	Mpeak(Msun)	Rvir(kpc)	Rmax(kpc)	apeak	Mstar_preferred(Msun)	Mstar_Behroozi2013(Msun)	npart	PID	UpID
# 
26101986 35.21144 34.93702 35.32682  -53.30  195.95  159.45  203.32  203.32 2.6732e+12 2.6732e+12 361.63239 121.10454 1.00000 5.3541e+10 5.3541e+10  8888521       -1       -1
26111625 35.21109 35.48551 35.09572  100.48  -20.22  162.93  159.47  159.47 1.3021e+12 1.3021e+12 284.54085 100.36572 1.00000 3.375e+10 3.375e+10  3830966       -1       -1
26096109 35.00384 34.84713 34.93261 -101.93  154.50  114.28    8.78    9.38 4.5197e+07 9.4624e+07 9.28169 0.93996 0.76100  397.63   24933      504       -1       -1
26096126 34.80201 34.87325 35.17227  -44.12  119.67  101.05    9.59    9.65 7.5465e+07 1.3125e+08 11.01127 1.07806 0.72110   745.3   39576      872       -1       -1
26096167 35.06122 34.79394 35.27672 -246.90  116.96  148.35    8.42    9.06 3.4042e+07 5.2451e+07 8.44507 0.60762 0.48540  128.08   10838      267 26101986 26101986
26096171 35.14432 34.88305 35.28944   40.46   77.42   55.76   13.42   21.74 5.769e+07 7.1822e+08 10.06761 0.77221 0.25000   19479 4.3614e+05      479 26101986 26101986
26096175 35.22384 34.90215 35.25745  -65.89  -24.25   89.07    9.25    9.93 1.6831e+07 4.7976e+07 6.67746 0.52275 0.40570  107.93  9556.1      114 26101985 26101986
26096178 35.20027 34.83863 35.29220  -26.17   99.11   50.94   10.56   10.29 2.2507e+07 3.593e+07 7.35634 0.47421 0.66800  61.948  6352.8      157 26101986 26101986
26096185 34.93423 34.87794 35.12324  -92.17  113.16   92.36    9.56    9.69 6.7141e+07 1.1209e+08 10.59014 1.04084 0.78750  550.45   31670      915 26101986 26101986
26096201 35.19042 34.95305 35.30244 -294.60    7.84   -9.43    8.69    8.72 1.4183e+07 3.8329e+07 6.30704 0.45247 0.45880  70.133  6959.9      127 26101985 26101986
26096237 34.96580 35.10422 34.95489  -64.23  172.13   35.64    8.05    8.24 2.4592e+07 4.5263e+07 7.57746 0.82750 0.44560  96.513  8801.9     1296       -1       -1
26096241 35.00078 35.06363 35.02046  -33.15  143.83   76.98   10.05   11.58 5.1817e+07 1.536e+08 9.71408 0.91800 0.53520  1007.9   49414      315       -1       -1
