# 
# ID	X(Mpc)	Y(Mpc)	Z(Mpc)	Vx(km/s)	Vy(km/s)	Vz(km/s)	Vmax(km/s)	Vpeak(km/s)	Mvir(Msun)	Mpeak(Msun)	Rvir(kpc)	Rmax(kpc)	apeak	Mstar_preferred(Msun)	Mstar_Behroozi2013(Msun)	npart	PID	UpID
# 
 8461163 35.21127 35.21127 35.21127   -7.41   74.37  -90.57  178.68  178.68 1.5577e+12 1.5577e+12 302.05634 47.72489 1.00000 3.8623e+10 3.8623e+10  5170434       -1       -1
 8455924 35.17825 34.90066 35.20613  -34.97  -12.31 -239.52    8.38    8.49 6.3352e+07 7.7159e+07 10.38732 1.64443 0.82740  268.75   18692      456       -1       -1
 8455926 35.08794 34.88577 35.12332  -70.30   44.45 -177.04   14.82   15.22 2.2394e+08 3.1414e+08 15.82254 1.28875 0.78750  3981.3 1.357e+05     1624       -1       -1
 8455935 35.05623 34.99079 35.15855  -52.79  -49.49 -189.55    8.19    8.91 6.9592e+07 9.3488e+07 10.71831 1.23641 0.85390  388.52   24512      619  8461163  8461163
 8455976 35.01817 35.10215 35.18018 -112.21   49.00 -237.56   19.09   19.27 8.1479e+08 9.5205e+08 24.33662 2.78172 0.85390   33464 6.4927e+05     6709  8461163  8461163
 8455980 35.09997 35.12344 35.23423  -70.45   21.02 -158.70   20.61   28.46 3.3817e+08 2.3614e+09 18.15352 1.46891 0.32930 1.9142e+05 2.3397e+06     2324  8460358  8461163
 8455984 35.06348 34.92004 35.05755   58.50    0.15 -191.70    9.60    9.54 3.4803e+07 5.7559e+07 8.50704 0.68836 0.53520   153.1   12358      242       -1       -1
 8455989 34.98006 34.93238 35.12655   -9.82   25.93 -193.35    8.91    9.28 5.1437e+07 1.1057e+08 9.69155 1.27160 0.56180  536.26   31068      370       -1       -1
 8456023 35.13623 34.87525 35.14849   21.12  -52.18 -181.36    9.55    9.80 4.8423e+07 8.6047e+07 9.49718 1.02541 0.47210  331.32   21803      368       -1       -1
 8456038 35.01024 34.93993 35.16282   26.03   -1.96 -193.16   10.48   10.88 6.7141e+07 1.0169e+08 10.59014 1.03778 0.74770  456.56   27600      677       -1       -1
 8456048 35.23565 34.93593 35.03854   -5.88   -2.86 -165.64   10.05   11.17 7.4887e+07 1.1732e+08 10.98310 1.17547 0.47210  600.82   33776      582  8459379  8459379
 8456083 35.04355 34.86046 35.15080   12.56  -78.44 -185.75    9.75    9.75 8.6239e+07 9.9861e+07 11.51268 1.14683 0.81410  440.96   26904     1791       -1       -1
 8456092 35.06334 35.04455 35.17530   -7.29  -50.88 -219.54   10.81   11.08 1.3825e+08 1.7531e+08 13.47324 1.62973 0.81410  1299.1   59552     1602  8461163  8461163
 8456100 35.20955 34.92134 35.13021   69.80    3.35 -242.57   10.29   11.33 5.8254e+07 1.43e+08 10.10141 0.94554 0.54850  878.67   44670      361  8459379  8461163
 8456114 35.20563 35.12404 35.14756   53.41  -43.63 -202.85   11.19   13.64 4.9746e+07 1.4241e+08 9.58310 0.98776 0.30280  871.69   44409      747  8459392  8461163
