# 
# ID	X(Mpc)	Y(Mpc)	Z(Mpc)	Vx(km/s)	Vy(km/s)	Vz(km/s)	Vmax(km/s)	Vpeak(km/s)	Mvir(Msun)	Mpeak(Msun)	Rvir(kpc)	Rmax(kpc)	apeak	Mstar_preferred(Msun)	Mstar_Behroozi2013(Msun)	npart	PID	UpID
# 
 7568489 35.21127 35.21127 35.21127   22.66 -170.71   18.82  203.48  203.48 1.8648e+12 1.8648e+12 320.76338 53.30504 1.00000 4.3575e+10 4.3575e+10  5549752       -1       -1
 7561921 34.38600 35.13251 35.21408  111.78 -250.88   -4.06    9.18    9.18 1.0251e+08 1.0276e+08 12.19437 1.55371 1.00000  463.67   27916      592       -1       -1
 7561964 34.63448 35.12965 35.20213  132.18 -192.93  -93.36    8.20    8.20 5.069e+07 5.1502e+07 9.64366 1.30789 1.00000  119.95   10328      435       -1       -1
 7561984 34.42711 35.04992 35.26489  128.74 -236.32   13.64    9.17   10.80 2.8183e+07 1.1625e+08 7.92958 0.70686 0.37920  38.863  4508.7      155  7562029  7562029
 7561985 34.47145 34.97975 35.23189   99.70 -285.06   17.95    8.23    9.15 5.3521e+07 8.1953e+07 9.81972 1.11577 0.85390  133.15   11152      442  7562029  7562029
 7561996 34.50404 35.00131 35.25521  128.22 -248.66   20.40    8.69   13.32 2.5718e+07 1.9939e+08 7.69155 0.75385 0.35260    32.6  3962.2      224  7562029  7562029
 7561998 34.39001 34.99390 35.29628  109.38 -229.72   27.52   14.01   14.68 1.6127e+08 2.4235e+08 14.18451 1.19730 0.60160  1106.7   52932      931       -1       -1
 7562007 34.45215 35.09439 35.23797  108.20 -255.79   11.50    8.38    8.30 2.062e+07 3.8455e+07 7.14507 0.47543 0.33930   21.33  2900.3      113       -1       -1
 7562008 34.41369 35.07814 35.21006  111.33 -222.51   24.87    8.23    8.54 3.3099e+07 6.0897e+07 8.36620 0.68428 0.68130  52.917  5657.7      225       -1       -1
 7562013 34.39141 35.08734 35.29565  104.86 -243.83   34.78    8.36    8.93 3.4042e+07 7.8742e+07 8.44507 0.69907 0.68130  55.851  5886.8      203       -1       -1
 7562020 34.55117 35.01037 35.22876  117.23 -236.59   42.51   16.11   17.84 3.7944e+08 7.6516e+08 18.86338 2.64236 0.73440  5721.4 1.7717e+05     2709       -1       -1
 7562028 34.48387 35.03655 35.25601  110.23 -263.36  -13.63   17.05   28.28 3.4225e+08 5.4005e+09 18.22817 1.52160 0.61490  4693.6 1.5316e+05     3301  7562029  7562029
 7562029 34.48742 35.03861 35.25992  110.37 -239.14   27.37   41.97   41.97 1.8e+10 1.9822e+10 68.28310 7.33686 1.00000 9.4194e+06 4.0544e+07    97944       -1       -1
 7562045 34.72228 35.05597 35.21701  145.26 -170.71   80.85    8.50    9.21 2.6282e+07 4.0915e+07 7.74789 0.68609 0.35260  79.503  7632.3      194       -1       -1
 7562046 34.62875 35.00297 35.25087  116.13 -138.99   82.59   10.46   10.59 5.6549e+07 7.9117e+07 10.00141 0.74375 0.32930  281.99   19365      404       -1       -1
 7562060 34.95597 35.00480 35.06658    7.06 -189.34    4.27   10.20   12.96 3.3099e+07 1.1555e+08 8.36620 0.69527 0.26290  583.59   33061      340       -1       -1
 7562062 35.03520 35.14504 34.87415 -101.69 -225.73   -2.07    8.30    9.00 9.7211e+07 1.1985e+08 11.98169 1.51254 0.73440  625.91   34808      938       -1       -1
 7562063 35.04789 35.02106 34.94399  -19.34 -179.83  -47.52   10.69   11.70 7.9803e+07 1.5728e+08 11.21831 1.10410 0.80080  1054.8   51092      710       -1       -1
 7562064 35.07693 35.00469 34.92762  -25.18 -193.87  -85.55   12.32   13.15 1.5521e+08 2.4113e+08 14.00563 1.10974 0.80080  2395.9   93408     1224       -1       -1
 7562065 35.00993 35.18920 34.95332   -3.90 -189.37  -22.17    8.72   11.10 2.6479e+07 1.1946e+08 7.76620 0.63087 0.43230   622.1   34652      266       -1       -1
 7562083 34.92276 35.03437 35.06858  -19.37 -202.76  -10.25    8.68   10.02 2.4014e+07 6.6634e+07 7.51831 0.79927 0.26290  202.79   15196      260       -1       -1
 7562085 34.99790 35.08225 35.06735  -47.63 -220.45  -52.85   13.45   18.10 1.3731e+08 4.7836e+08 13.44225 1.65417 0.33930  8926.5 2.4572e+05     1188  7568489  7568489
 7562097 35.04765 35.19692 35.04787  -18.45 -177.66 -110.58    8.13   10.71 2.8746e+07 6.7614e+07 7.98169 0.86185 0.43230  208.56   15512      230  7568489  7568489
 7562133 35.04437 35.08801 35.09366 -143.56 -123.78  -55.62    9.30    9.54 9.0775e+07 1.1574e+08 11.71127 1.42889 0.84060  585.41   33137      914  7568489  7568489
 7562139 35.02079 35.20794 35.17638 -130.79 -112.21  -17.26    8.09    9.19 1.9099e+07 4.9113e+07 6.96479 0.53493 0.28950  112.89  9877.2      145  7568489  7568489
 7562186 35.09731 35.08315 35.11155   31.76 -281.59  -50.24   10.50   13.27 3.9155e+07 1.6432e+08 8.84789 0.81114 0.32930  1147.3   54352      472  7568489  7568489
 7562190 35.10538 35.17525 35.16501   71.50 -241.99  -78.81    8.45   12.01 8.8887e+06 9.2986e+07 5.39718 0.36490 0.25000  384.52   24326       62  7568489  7568489
 7562239 35.21621 35.20768 35.03144 -161.71 -103.57   12.61   11.56   14.15 9.4746e+07 2.7038e+08 11.87887 1.06009 0.45880  2985.1 1.098e+05      776  7568489  7568489
 7562250 35.18166 34.91639 35.13308 -124.26  -76.77   21.48    9.50    9.73 1.4225e+08 1.7329e+08 13.60141 1.50570 0.97340  1270.5   58586     1105  7568489  7568489
 7562257 34.88027 35.01532 34.97548  172.94 -245.93   38.02   16.58   16.58 7.3831e+08 7.4853e+08 23.55070 2.05259 1.00000   20539 4.5346e+05     4646       -1       -1
 7562258 35.01782 34.97697 35.00237  198.75 -216.29   58.08   10.21   10.21 9.4746e+07 9.5756e+07 11.87887 0.88905 1.00000  398.62   24979      835       -1       -1
 7562283 34.91679 35.03680 35.06269  178.46 -180.88   23.95    8.22    8.83 2.3268e+07 4.5512e+07 7.43803 0.37351 0.44560  97.534  8870.3      274       -1       -1
 7562293 34.99885 35.19617 35.09994  105.44 -182.70  132.23    9.58   13.33 3.6507e+07 2.4765e+08 8.64366 0.83389 0.39240  2521.9   96997      360  7568489  7568489
