# 
# ID	X(Mpc)	Y(Mpc)	Z(Mpc)	Vx(km/s)	Vy(km/s)	Vz(km/s)	Vmax(km/s)	Vpeak(km/s)	Mvir(Msun)	Mpeak(Msun)	Rvir(kpc)	Rmax(kpc)	apeak	Mstar_preferred(Msun)	Mstar_Behroozi2013(Msun)	npart	PID	UpID
# 
40440170 35.21127 35.21127 35.21127  -31.25  124.41  122.32  157.99  157.99 1.0315e+12 1.0315e+12 263.28169 46.40729 1.00000 2.7597e+10 2.7597e+10 21080813       -1       -1
40434820 35.11658 35.03579 34.98797 -116.83   32.53  123.09    4.32    4.73 1.0118e+07 1.145e+07 5.63521 0.50633 0.78750  6.8936  1263.8      757       -1       -1
40434839 35.14589 34.95542 35.00697  -62.37   18.64  117.93    3.34    3.13 1.4423e+06 1.8995e+06 2.94366 0.23694 0.80080 0.21906  100.03       90 40436236 40436236
40434845 35.19320 35.05182 35.10732  -86.03  106.93   67.65    4.02    4.32 2.0338e+06 8.0615e+06 3.30141 0.25138 0.35260  3.5146  770.07      361 40440170 40440170
40434877 35.07038 35.09146 34.95299 -127.82   20.54   51.70    3.48    3.62 5.9099e+06 6.1545e+06 4.71127 0.50413 0.85390  2.0932  526.03      451       -1       -1
40434881 35.13954 35.11441 34.94503  -80.04  -13.72  121.65    3.87    3.66 2.7183e+06 2.923e+06 3.63662 0.23802 0.82740 0.50113  183.83      180       -1       -1
40434890 35.09173 35.12690 34.91670  -39.60  124.24  118.79    4.16    6.20 2.1282e+06 1.3554e+07 3.35211 0.21108 0.21310  9.5307  1603.8      181       -1       -1
40434894 35.20100 35.21189 34.85900  -58.54   -2.46   69.05    3.25    3.25 3.0972e+06 3.3338e+06 3.79859 0.36512 1.00000 0.56003  199.49      171       -1       -1
40434898 35.16507 35.14473 34.83115 -139.95  119.61   66.12    5.16    5.38 1.0449e+07 1.3026e+07 5.69718 0.42075 0.68130  8.8305  1516.3      609       -1       -1
40434909 35.21772 35.13121 35.13275  -87.46   81.04  -16.57    5.13    5.88 5.6268e+06 1.9442e+07 4.63521 0.40572 0.39240  19.052  2669.2      709 40440170 40440170
40434911 35.22972 35.17237 35.12883  -93.69  114.84  -73.71    3.58    3.27 1.2056e+06 1.5526e+06 2.77324 0.23815 0.53520 0.14872  75.238       60 40440170 40440170
40434914 35.21959 35.10148 35.03744  -60.95  -43.39   88.33    3.17    3.83 9.9296e+05 6.493e+06 2.60000 0.22312 0.44560  2.3198  567.33       58 40440170 40440170
40434915 35.16811 35.11396 35.18003 -125.40  -43.53  100.34    3.22    4.26 1.5366e+06 6.1145e+06 3.00704 0.33367 0.30280  2.0672  521.21       98 40440170 40440170
40434930 35.21059 35.17349 35.15661  -29.80  -34.55  110.00    6.12    8.47 5.1535e+06 4.8559e+07 4.50141 0.34228 0.30280  110.46  9720.3      260 40440170 40440170
40434936 35.21185 35.16934 35.16317 -189.66   -0.45    4.21    3.32    3.59 1.4183e+06 3.854e+06 2.92817 0.40701 0.36590 0.85213  271.63       83 40437559 40440170
