# 
# ID	X(Mpc)	Y(Mpc)	Z(Mpc)	Vx(km/s)	Vy(km/s)	Vz(km/s)	Vmax(km/s)	Vpeak(km/s)	Mvir(Msun)	Mpeak(Msun)	Rvir(kpc)	Rmax(kpc)	apeak	Mstar_preferred(Msun)	Mstar_Behroozi2013(Msun)	npart	PID	UpID
# 
21262519 35.21127 35.21127 35.21127 -117.89   75.61  -45.34  204.10  204.10 2.4113e+12 2.4113e+12 349.41549 73.55269 1.00000 5.0687e+10 5.0687e+10  5414115       -1       -1
21254471 35.07104 35.00461 34.88308 -210.79    2.30  -42.25   10.17   10.47 7.6789e+07 8.901e+07 11.07465 1.26519 0.77420  353.57   22870      480       -1       -1
21254498 35.02848 34.95693 35.01566 -101.32   33.79 -103.05    8.43    8.67 5.069e+07 7.7545e+07 9.64366 0.98381 0.78750  271.33   18824     1081       -1       -1
21254566 35.20003 35.14346 35.22332 -352.51  -98.89  -96.23   13.63   20.92 7.6972e+07 6.5512e+08 11.08451 0.95020 0.25000   16326 3.8304e+05      457 21256277 21262519
21254587 35.19776 34.91607 35.24992 -243.54  121.08 -151.26    9.91   10.29 4.5958e+07 8.6174e+07 9.33380 0.57099 0.37920  332.26   21848      281 21262519 21262519
21254588 35.24008 35.01890 35.34573 -180.25   16.47  -96.56    8.07    8.38 2.1183e+07 3.3221e+07 7.20986 0.67510 0.47210  53.292  5687.2      239 21262519 21262519
21254591 35.13879 35.08480 35.38935 -173.67   53.71  -13.44   13.41   19.27 7.6028e+07 4.4817e+08 11.03803 0.97688 0.31610  7876.4 2.2411e+05      536 21262519 21262519
21254610 35.16321 35.30487 35.15823 -120.30 -163.99  -55.05    8.69    8.85 1.4366e+07 3.8958e+07 6.33521 0.43124 0.28950   72.36  7121.8       93 21262519 21262519
21254617 34.90190 35.09899 35.16577  -91.93  -71.77 -114.02   10.87   10.68 8.7563e+07 9.2737e+07 11.57042 1.04722 0.81410  382.55   24234      678 21262519 21262519
21254643 35.20989 35.19231 35.17610  -91.92   79.54 -385.76    8.71   11.59 1.2482e+07 9.2986e+07 6.04507 0.36481 0.36590  384.52   24326       72 21262519 21262519
21254649 35.02597 35.23713 35.30376 -245.60  -13.60 -156.36    9.20    9.98 2.6859e+07 5.5418e+07 7.80282 0.53780 0.36590  142.35   11714      194 21262322 21262519
21254665 35.11894 35.18606 35.23532 -152.72  -36.76 -147.17    8.16    8.94 1.2482e+07 3.4925e+07 6.04507 0.42731 0.31610  58.665  6103.5       88 21262519 21262519
21254668 35.21618 35.28731 35.22551 -183.54 -161.68 -109.79   11.05   11.70 3.4803e+07 5.3714e+07 8.50704 0.75943 0.65470  134.07   11209      229 21262482 21262519
21254669 35.19344 35.17846 35.32139 -112.07  -91.64 -119.72    8.36    8.59 1.4183e+07 2.969e+07 6.30704 0.58149 0.53520  42.951  4852.9      101 21262342 21262519
21254684 35.06465 35.17939 35.26858 -107.75   77.30 -206.46    8.69   12.14 2.307e+07 1.2722e+08 7.41831 0.78551 0.27620  701.95   37870      217 21262519 21262519
21254686 34.93400 35.23131 35.33518 -135.06   71.33 -146.50    8.16    7.35 1.6831e+07 4.9803e+07 6.67746 0.59926 0.36590  115.95   10074      315 21262322 21262519
21254701 35.17966 35.21945 35.28379 -222.01   76.56 -234.85   11.41   15.24 2.5915e+07 2.0784e+08 7.70986 0.50651 0.26290  1801.4   75734      167 21262519 21262519
21254704 35.19337 35.15086 35.17077 -220.85   -7.74 -124.34    9.24    8.15 1.0969e+07 3.4798e+07 5.79014 0.35262 0.31610  58.257  6072.2       78 21262519 21262519
21254708 35.21415 35.27966 35.25018 -350.63  109.86 -142.98    8.66   11.77 2.0803e+07 1.4741e+08 7.16620 0.56445 0.32930  931.42   46627      119 21262494 21262519
21254712 34.96580 35.18579 35.27920 -177.98   59.29 -177.87    8.19    8.25 1.8718e+07 3.2531e+07 6.91972 0.57025 0.36590  51.187  5521.1      722 21262325 21262519
21254714 35.12825 35.22838 35.36569 -327.62   89.03 -102.67   16.76   20.49 4.0239e+08 1.0875e+09 19.23803 1.85723 0.40570   43202 7.8339e+05     3235 21262519 21262519
21254722 35.16406 35.25259 35.34686  -96.41  -31.96 -148.87    8.37   11.19 1.7972e+07 1.6258e+08 6.82535 0.66165 0.35260  1124.1   53542      159 21262519 21262519
21254745 35.05418 35.23169 35.19345 -166.76 -150.60 -123.87   16.60   17.16 5.1211e+08 5.6577e+08 20.84789 3.28686 0.88050   12320 3.1142e+05     4179 21262519 21262519
21254748 35.11524 35.24248 35.18503 -210.91 -175.76 -145.86   14.19   14.16 3.4592e+08 5.4588e+08 18.29155 2.18063 0.88050   11502 2.9608e+05     3805 21262519 21262519
21254753 35.15146 35.37855 35.31896 -291.81    0.16 -180.91   10.71   10.55 1.1801e+08 1.2873e+08 12.78169 1.30440 0.92030  718.01   38505     1001 21262519 21262519
21254758 35.09520 35.33549 35.22570 -149.71  -55.63 -131.52    9.11   10.63 5.4465e+07 1.3012e+08 9.87746 1.05806 0.53520  732.96   39094      456 21262519 21262519
21254762 35.07032 35.56441 35.27844 -166.71   69.20 -106.31   12.21   12.74 1.662e+08 2.3566e+08 14.32817 1.80013 0.62820  2292.8   90434     1244       -1       -1
21254773 34.80920 35.11382 35.31324 -159.99   29.91 -187.56   13.09   13.61 3.9662e+08 4.4145e+08 19.14507 3.48925 0.77420  7651.4 2.1939e+05     3201       -1       -1
21254774 34.92337 35.16501 35.36145 -226.62  -14.97 -169.36    9.31    9.31 6.7704e+07 7.061e+07 10.61972 0.97588 0.86720  226.67   16492      722 21262325 21262519
21254788 35.08310 35.24320 35.48059 -139.50   71.28 -196.90    8.09   10.28 1.3049e+07 6.6194e+07 6.13521 0.45934 0.28950  200.23   15055      100 21262373 21262519
21254796 35.12946 35.15830 35.49411 -160.05   22.52 -100.21   10.25    9.77 2.231e+07 5.3714e+07 7.33662 0.43361 0.22640  134.07   11209      378 21262519 21262519
21254809 35.07745 35.46865 35.37624 -213.70  -39.46 -118.50   18.04   18.10 7.1225e+08 7.2346e+08 23.27042 2.44736 0.98670   19753 4.4064e+05     4647 21262519 21262519
21254814 35.12365 35.50221 35.47427 -203.53   19.13 -159.82   19.21   19.21 9.8746e+08 9.9584e+08 25.94789 2.55607 1.00000   35895 6.8362e+05     5690       -1       -1
21254815 35.13070 35.38377 35.43414 -134.68   61.58  -71.60    8.49    8.66 2.307e+07 4.1418e+07 7.41831 0.33841 0.45880  81.388  7764.9      257 21262519 21262519
21254817 34.79869 34.90818 34.78059   82.53   44.75  -18.47   12.41   12.41 1.9901e+08 1.9901e+08 15.21127 1.64219 1.00000  1657.4   71233     1201       -1       -1
21254819 34.61618 35.00904 34.75268 -101.22  104.41 -144.83    8.44    9.17 3.7451e+07 8.8761e+07 8.71831 1.00411 0.39240  351.67   22780      339 21257575 21257575
21254821 34.63293 35.14018 34.85515  -52.20   78.08 -124.72    8.05    7.90 1.4563e+07 2.3009e+07 6.36338 0.51508 0.48540  26.328    3386      138       -1       -1
21254823 34.71786 35.01604 34.85080    3.57   81.26 -131.05   10.45   10.97 4.8042e+07 9.3052e+07 9.47183 0.82620 0.48540  385.04   24350      298       -1       -1
21254824 34.64014 35.07754 34.80904  -63.11   56.26 -138.57    8.88    9.35 5.0493e+07 8.2521e+07 9.63099 0.80520 0.40570  305.75   20552      465       -1       -1
21254829 34.72389 35.16990 34.83277  -57.26  100.54 -145.31    9.68   10.35 1.0307e+08 2.3549e+08 12.21690 1.91107 0.62820  2289.6   90341     1500       -1       -1
21254836 34.70717 35.07925 34.82025  -77.14   83.47 -168.44   17.05   17.44 7.1338e+08 8.7559e+08 23.28310 3.08295 0.68130   28495 5.7689e+05     6530       -1       -1
21254840 34.83634 35.04427 34.87624  -77.05   68.85 -167.43   10.70   10.58 1.3561e+08 1.4904e+08 13.38732 1.72699 0.72110  951.22   47353     1058       -1       -1
21254847 34.79551 35.17490 34.95494 -105.76  -20.38  -89.31   11.22   11.54 1.5901e+08 1.8394e+08 14.11831 1.24630 0.69460  1424.8   63737     1241       -1       -1
21254848 34.71297 35.06848 35.04562  -82.69   67.50 -173.92    8.50    9.58 2.4211e+07 4.7784e+07 7.53803 0.75452 0.26290   107.1    9502      138       -1       -1
21254864 34.90185 34.92952 34.96296  -84.31   23.06 -125.21   12.91   12.58 1.6394e+08 2.0695e+08 14.26197 1.40547 0.73440  1786.5   75275     1942       -1       -1
21254865 34.80734 34.82092 34.73907  -59.00  115.92 -100.16    8.42    9.23 1.9859e+07 4.2742e+07 7.05634 0.63064 0.45880  86.456  8117.7      235       -1       -1
21254892 34.96959 35.32680 35.35997 -182.93  -27.16 -206.19    8.33    8.22 8.3211e+07 1.0004e+08 11.37606 1.27675 0.77420   442.5   26973      863 21262325 21262519
21254900 35.16431 35.08655 35.12755  -92.03  -65.58  -68.25   12.01   14.27 5.2761e+07 2.4817e+08 9.77324 0.81258 0.32930  2532.1   97283      363 21262519 21262519
