# 
# ID	X(Mpc)	Y(Mpc)	Z(Mpc)	Vx(km/s)	Vy(km/s)	Vz(km/s)	Vmax(km/s)	Vpeak(km/s)	Mvir(Msun)	Mpeak(Msun)	Rvir(kpc)	Rmax(kpc)	apeak	Mstar_preferred(Msun)	Mstar_Behroozi2013(Msun)	npart	PID	UpID
# 
12541392 35.21127 35.21127 35.21127 -189.60  -21.28  -28.42  205.17  205.17 2.2577e+12 2.2577e+12 341.80282 108.78064 1.00000 4.8866e+10 4.8866e+10  6643262       -1       -1
12533122 34.70301 35.18044 35.22238 -152.03  -29.32 -128.75    8.27    7.72 3.4042e+07 4.5512e+07 8.44507 0.95125 0.65470  97.534  8870.3      273       -1       -1
12533134 35.07625 34.90199 34.95610 -201.07  -60.94 -107.15    8.37    8.71 2.7606e+07 5.8188e+07 7.87606 0.55707 0.44560  156.33   12549      298       -1       -1
12533167 35.04285 35.07663 35.26434 -397.70  -95.61  -53.32    9.25    9.85 1.1083e+08 1.4568e+08 12.51690 0.87419 0.86720  910.52   45855     1015 12540531 12541392
12533168 35.04638 35.08406 35.27569 -402.02 -112.28  -47.64    8.01    8.19 4.0845e+07 5.0878e+07 8.97465 1.10195 0.86720  120.81   10382      361 12540531 12541392
12533207 35.15435 35.15265 35.17804 -265.14 -152.87  -21.09    8.08    8.03 1.5127e+07 2.4775e+07 6.44507 0.54783 0.74770  30.343  3758.4      134 12541392 12541392
12533219 34.79138 35.11966 35.08921 -147.87  -50.28  104.99    8.59    9.78 2.7042e+07 6.2915e+07 7.82113 0.68406 0.30280  181.62   14012      181       -1       -1
12533222 34.90097 35.03245 35.03248 -151.51  -74.78  126.02    9.41    9.16 4.9366e+07 6.0958e+07 9.55915 0.67097 0.54850  170.93   13401      307       -1       -1
12533266 35.14452 35.18128 35.19137 -236.64 -341.07    2.60   15.49   16.67 2.5761e+08 4.2746e+08 16.57887 2.76826 0.50860  7192.6 2.0964e+05     1883 12539539 12541392
12533271 34.86741 35.05485 35.05290 -182.58  -62.14   65.80   12.26   12.58 1.2161e+08 1.6653e+08 12.90986 1.45078 0.69460  1177.1   55385      906       -1       -1
12533272 34.92718 35.06731 35.06732 -157.68  -59.44  129.96    9.40    9.09 4.9549e+07 8.347e+07 9.57042 1.21578 0.41900  312.53   20887      763       -1       -1
